entity,state,type,affected,date,incident,location,business_associate
EpiSource,MN,Business Associate,1206,6/2/23,Hacking/IT Incident,Network Server,Yes
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,6/2/23,Hacking/IT Incident,Network Server,No
Petaluma Health Center,CA,Healthcare Provider,124862,6/2/23,Hacking/IT Incident,Network Server,No
Maimonides Medical Center,NY,Healthcare Provider,33000,6/1/23,Hacking/IT Incident,Network Server,No
Pain Relief Centers PA,NC,Healthcare Provider,7000,6/1/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
"iSpace, Inc.",CA,Business Associate,24382,5/31/23,Hacking/IT Incident,Network Server,Yes
Builders FirstSource Flex Plan,TX,Health Plan,3690,5/30/23,Hacking/IT Incident,Network Server,No
Iowa Department of Health and Human Services - Iowa Medicaid (Iowa HHS-IM),IA,Health Plan,233834,5/30/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,996,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1389,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1191,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1518,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,524,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,507,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,983,5/26/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,8432,5/26/23,Hacking/IT Incident,Network Server,Yes
Onix Group,PA,Business Associate,319500,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,803,5/26/23,Hacking/IT Incident,Network Server,Yes
North Shore Medical Labs,NY,Healthcare Provider,500,5/26/23,Hacking/IT Incident,Network Server,No
"Alvaria, Inc.",MA,Business Associate,1147,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,537,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,796,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1097,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,916,5/26/23,Hacking/IT Incident,Network Server,Yes
Sparta Community Hospital District,IL,Healthcare Provider,900,5/26/23,Hacking/IT Incident,Email,No
Managed Care of North America (MCNA),GA,Business Associate,8861076,5/26/23,Hacking/IT Incident,Network Server,Yes
Iowa Department of Health and Human Services,IA,Health Plan,833,5/26/23,Unauthorized Access/Disclosure,Paper/Films,Yes
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,5/26/23,Hacking/IT Incident,Email,No
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,5/26/23,Hacking/IT Incident,Network Server,No
Lancaster Orthopedic Group,PA,Healthcare Provider,500,5/26/23,Hacking/IT Incident,Network Server,No
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,5/25/23,Hacking/IT Incident,Network Server,No
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,5/25/23,Hacking/IT Incident,Network Server,No
Asian Health Services,CA,Healthcare Provider,6270,5/25/23,Hacking/IT Incident,Email,No
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,5/24/23,Hacking/IT Incident,Email,No
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,5/24/23,Hacking/IT Incident,Network Server,No
Harvard Pilgrim Health Care,MA,Health Plan,2550922,5/24/23,Hacking/IT Incident,Network Server,No
"MedInform, Inc.",OH,Business Associate,14453,5/24/23,Hacking/IT Incident,Network Server,Yes
"The CSC Generation Holdings, Inc. Health and Welfare Plan",WA,Health Plan,2219,5/24/23,Hacking/IT Incident,Network Server,No
"UI Community Home Care, a subsidiary of University of Iowa Health System�",IA,Healthcare Provider,67897,5/24/23,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Culbertson Memorial Hospital�,IL,Healthcare Provider,501,5/24/23,Hacking/IT Incident,Network Server,No
Grant Regional Health Center,WI,Healthcare Provider,4135,5/23/23,Hacking/IT Incident,Email,No
County of Sacramento,CA,Healthcare Provider,1000,5/23/23,Hacking/IT Incident,Email,No
"Topcon Healthcare Solutions, Inc.",NJ,Business Associate,4209,5/22/23,Hacking/IT Incident,Network Server,Yes
PillPack LLC,NH,Healthcare Provider,19032,5/19/23,Hacking/IT Incident,Network Server,No
"PartsSource, Inc. Welfare Benefit Plan",OH,Health Plan,1474,5/19/23,Hacking/IT Incident,Network Server,No
Tennessee Orthopaedic Clinics�,TN,Healthcare Provider,500,5/19/23,Hacking/IT Incident,Network Server,No
"Marshall Information Services, LLC dba Primary Solutions�",OH,Business Associate,7456,5/18/23,Hacking/IT Incident,Network Server,Yes
University of Missouri Health Care�,MO,Healthcare Provider,736,5/17/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
Clarke County Hospital� �,IA,Healthcare Provider,28003,5/17/23,Hacking/IT Incident,Network Server,No
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service",NJ,Health Plan,552,5/16/23,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Buckeye Health Plan,OH,Health Plan,686,5/16/23,Unauthorized Access/Disclosure,Email,No
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,5/16/23,Hacking/IT Incident,Network Server,No
Fertility Specialists Medical Group,CA,Healthcare Provider,9437,5/15/23,Hacking/IT Incident,Network Server,No
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,627,5/15/23,Hacking/IT Incident,Network Server,No
R&B Corporation of Virginia d/b/a Credit Control Corporation,VA,Business Associate,345523,5/13/23,Hacking/IT Incident,Network Server,Yes
PharMerica Corporation,KY,Healthcare Provider,5815591,5/12/23,Hacking/IT Incident,Network Server,No
Great Expressions Dental Centers,MI,Healthcare Provider,528,5/12/23,Hacking/IT Incident,Network Server,No
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,5/12/23,Hacking/IT Incident,Network Server,No
Solutran,MN,Business Associate,17728,5/12/23,Hacking/IT Incident,Network Server,Yes
Health Benefit Plan of the Anchorage School District,AK,Health Plan,4598,5/12/23,Theft,Laptop,No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1116,5/12/23,Unauthorized Access/Disclosure,Email,No
Catholic Health System,NY,Healthcare Provider,12759,5/11/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"IMA Financial Group, Inc.",KS,Business Associate,2937,5/10/23,Hacking/IT Incident,Network Server,Yes
Uintah Basin Healthcare,UT,Healthcare Provider,103974,5/10/23,Hacking/IT Incident,Network Server,No
"Brightline, Inc.",CA,Business Associate,28975,5/10/23,Hacking/IT Incident,Other,Yes
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")",AZ,Healthcare Provider,1034,5/9/23,Theft,Desktop Computer,No
"ASAS Health, LLC",TX,Healthcare Provider,25527,5/6/23,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1971,5/5/23,Unauthorized Access/Disclosure,Network Server,No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,26561,5/5/23,Hacking/IT Incident,Network Server,No
"Our Sunday Visitor, Inc.",IN,Health Plan,965,5/5/23,Hacking/IT Incident,Network Server,No
People Incorporated of Sequoyah County,OK,Healthcare Provider,8725,5/5/23,Hacking/IT Incident,Network Server,No
New Mexico Department of Health,NM,Healthcare Provider,49000,5/4/23,Unauthorized Access/Disclosure,Other,No
Methodist Family Health,AR,Healthcare Provider,5259,5/3/23,Hacking/IT Incident,Network Server,No
Northwest Health � La Porte,IN,Healthcare Provider,10256,5/2/23,Unauthorized Access/Disclosure,Paper/Films,No
Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital�,WV,Healthcare Provider,2563,5/2/23,Hacking/IT Incident,Network Server,Yes
University Urology,NY,Healthcare Provider,56816,5/1/23,Hacking/IT Incident,Network Server,No
Summit Eye & Optical,NJ,Healthcare Provider,5727,5/1/23,Hacking/IT Incident,Network Server,No
ReDiscover Mental Health,MO,Healthcare Provider,877,5/1/23,Unauthorized Access/Disclosure,Email,No
Link Audiology LLC,WA,Healthcare Provider,7200,4/28/23,Hacking/IT Incident,Email,No
"HealthPlan Services, Inc.",FL,Business Associate,9349,4/28/23,Hacking/IT Incident,Network Server,Yes
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers",VA,Healthcare Provider,5272,4/28/23,Hacking/IT Incident,Email,No
Allina Health,MN,Healthcare Provider,1042,4/28/23,Unauthorized Access/Disclosure,Network Server,No
"Unlimited Care, Inc.�",NY,Healthcare Provider,8453,4/27/23,Hacking/IT Incident,Network Server,No
Delphi Drug & Alcohol Council,NY,Healthcare Provider,6288,4/27/23,Hacking/IT Incident,Email,No
