entity,state,type,affected,date,incident,location,business_associate
Health Advantage,AR,Health Plan,2863,12/20/12,Other,Paper/Films,No
"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,Healthcare Provider,3288,12/20/10,Theft,Laptop,No
Roosevelt General Hospital,NM,Healthcare Provider,28847,12/19/19,Hacking/IT Incident,Network Server,No
"Virtual Radiologic Professionals, LLC",MN,Healthcare Provider,2568,12/19/18,Unauthorized Access/Disclosure,Other,Yes
"VIRTUAL RADIOLOGIC PROFESSIONALS, LLC",MN,Healthcare Provider,846,12/19/18,Hacking/IT Incident,Other,Yes
Dignity Health Medical Foundation,CA,Healthcare Provider,2189,12/19/17,Unauthorized Access/Disclosure,Paper/Films,Yes
"Sheldon M. Golden O.D., Optometric Corporation",CA,Healthcare Provider,7583,12/19/17,Hacking/IT Incident,Network Server,No
MidMichigan Medical Center-Alpena,MI,Healthcare Provider,1900,12/19/17,Loss,Paper/Films,No
Brodhead Dental Center,PA,Healthcare Provider,5872,12/19/16,Hacking/IT Incident,Desktop Computer,No
Humana Inc. [case #HU16004F3],KY,Health Plan,3674,12/19/16,Unauthorized Access/Disclosure,Paper/Films,No
"The Corvallis Clinic, P.C.",OR,Healthcare Provider,41000,12/19/14,Theft,Laptop,No
Pediatric Gastroenterology Consultants,CO,Healthcare Provider,5000,12/19/14,Theft,Laptop,No
Colby DeHart,TN,Business Associate,2777,12/19/13,Theft,Laptop,Yes
Wyoming Department of Health,WY,Health Plan,11935,12/19/13,Hacking/IT Incident,Network Server,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1340,12/18/20,Hacking/IT Incident,Email,Yes
GenRx Pharmacy,AZ,Healthcare Provider,137110,12/18/20,Hacking/IT Incident,Network Server,No
"Iowa Total Care, Inc.",IA,Health Plan,536,12/18/20,Unauthorized Access/Disclosure,Email,No
Tift Regional Medical Center,GA,Healthcare Provider,1045,12/18/18,Hacking/IT Incident,Email,No
Barnes-Jewish Hospital,MO,Healthcare Provider,1643,12/18/18,Hacking/IT Incident,Network Server,No
Belgrade Regional Health Center,ME,Healthcare Provider,854,12/18/15,Unauthorized Access/Disclosure,Paper/Films,No
"Physicians Health Plan of Northern Indiana, Inc.",IN,Health Plan,1708,12/18/15,Unauthorized Access/Disclosure,Paper/Films,No
DeLoach & Williamson,SC,Business Associate,3432,12/18/13,Theft,Laptop,Yes
Walla Walla VA Medical Center,WA,Healthcare Provider,1519,12/18/13,Unauthorized Access/Disclosure,Email,No
"Wilmington Surgical Associates, P.A.",NC,Healthcare Provider,114834,12/17/20,Hacking/IT Incident,Network Server,No
"Comprehensive Neurology, PC",NY,Healthcare Provider,6800,12/17/20,Hacking/IT Incident,Network Server,No
"Community Eye Care, LLC",NC,Health Plan,149804,12/17/20,Hacking/IT Incident,Email,No
"Texas Family Psychology Associates, P.C.",TX,Healthcare Provider,12000,12/17/19,Unauthorized Access/Disclosure,Electronic Medical Record,No
University of Vermont Health Network - Elizabethtown Community Hospital,NY,Healthcare Provider,32470,12/17/18,Hacking/IT Incident,Email,No
Fort Defiance Indian Hospital,AZ,Healthcare Provider,1000,12/17/18,Hacking/IT Incident,Desktop Computer,No
Shiloh Medical Clinic,MT,Healthcare Provider,1900,12/17/13,Unauthorized Access/Disclosure,Email,No
Molina Healthcare of California,CA,Health Plan,11081,12/17/11,Other,Paper/Films,No
Cook County Health & Hospitals System,IL,Healthcare Provider,556,12/17/10,Theft,Desktop Computer,No
Apple Blossom Family Practice,VA,Healthcare Provider,12053,12/16/21,Hacking/IT Incident,Network Server,Yes
"Andrew Sauchelli, DMD",FL,Health Plan,3416,12/16/21,Hacking/IT Incident,Network Server,No
"MEDNAX Services, Inc.",FL,Business Associate,1290670,12/16/20,Hacking/IT Incident,Email,Yes
San Francisco Department of Public Health - Zuckerberg SF General Hospital,CA,Healthcare Provider,1174,12/16/19,Improper Disposal,Paper/Films,No
AFLAC,GA,Health Plan,1601,12/16/19,Unauthorized Access/Disclosure,Network Server,No
Texas Children's Hospital,TX,Healthcare Provider,597,12/16/19,Unauthorized Access/Disclosure,Paper/Films,No
North Ottawa Community Health System,MI,Healthcare Provider,4013,12/16/19,Unauthorized Access/Disclosure,Electronic Medical Record,No
"INTEGRIS Health, Inc.",OK,Healthcare Provider,1245218,12/16/19,Loss,Other Portable Electronic Device,No
Colorado Department of Human Services,CO,Healthcare Provider,12230,12/16/19,Unauthorized Access/Disclosure,Other,No
"Ben-Ora, Hansen & Vanesian Imaging, Ltd d/b/a Solis Mammography",AZ,Healthcare Provider,500,12/16/18,Theft,Desktop Computer,No
County of Los Angeles Departments of Health and Mental Health,CA,Healthcare Provider,749017,12/16/16,Hacking/IT Incident,Email,No
Southcentral Foundation,AK,Healthcare Provider,14719,12/16/16,Hacking/IT Incident,Email,No
Fairbanks Hospital,IN,Healthcare Provider,12994,12/16/16,Unauthorized Access/Disclosure,Network Server,No
Wyoming Department of Health,WY,Health Plan,11935,12/16/13,Unauthorized Access/Disclosure,Network Server,No
Molina Healthcare In,CA,Business Associate,1499,12/16/13,Unauthorized Access/Disclosure,Network Server,Yes
Benjamin Rose Institute on Aging,OH,Healthcare Provider,1452,12/15/20,Hacking/IT Incident,Email,No
Emory Healthcare,GA,Healthcare Provider,24000,12/15/17,Unauthorized Access/Disclosure,Email,No
Chilton Medical Center,NJ,Healthcare Provider,4600,12/15/17,Theft,Other Portable Electronic Device,No
NYU School of Medicine - Pediatric Surgery Associates,NY,Healthcare Provider,2158,12/15/17,Improper Disposal,Paper/Films,No
"East Valley Community Health Center, Inc.",CA,Healthcare Provider,65000,12/15/16,Hacking/IT Incident,Network Server,No
Fidelis Care,NY,Health Plan,738,12/15/15,Unauthorized Access/Disclosure,Paper/Films,No
Fidelis Care,NY,Health Plan,687,12/15/15,Unauthorized Access/Disclosure,Paper/Films,No
New Mexico Department of Health,NM,Healthcare Provider,561,12/15/15,Theft,Laptop,No
Walgreen Co.,IL,Healthcare Provider,160000,12/15/14,Other,Paper/Films,No
"Paul C. Brown, MD, PS",WA,Healthcare Provider,4693,12/15/11,Theft,Other,No
"Gair Medical Transcription Services, Inc.",PA,Business Associate,1085,12/15/10,Unauthorized Access/Disclosure,Network Server,Yes
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,10000,12/15/09,Theft,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,610,12/15/09,Other,Email,No
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,646,12/15/09,Theft,Laptop,No
UAW Retiree Medical Benefits Trust,MI,Health Plan,576,12/14/21,Hacking/IT Incident,Network Server,Yes
"Midwest Geriatric Management, LLC",MO,Healthcare Provider,4814,12/14/20,Hacking/IT Incident,Email,No
Nebraska Methodist Health System,NE,Healthcare Provider,39912,12/14/20,Hacking/IT Incident,Network Server,Yes
Massachusetts General Hospital,MA,Healthcare Provider,588,12/14/18,Unauthorized Access/Disclosure,Paper/Films,No
"Compassion Care Hospice Las Vegas, LLC",NV,Healthcare Provider,1128,12/14/17,Hacking/IT Incident,Network Server,No
Memphis Pathology Laboratory d/b/a American Esoteric Laboratory,TN,Healthcare Provider,500,12/14/17,Theft,Laptop,No
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,4389,12/14/17,Hacking/IT Incident,Email,No
Oak Cliff Orthopaedic Associates,TX,Healthcare Provider,1057,12/14/16,Theft,Paper/Films,No
Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,Healthcare Provider,4929,12/14/12,Theft,Desktop Computer,No
Oregon Eye Specialists,OR,Healthcare Provider,42612,12/13/21,Hacking/IT Incident,Email,No
Western Health Advantage,CA,Health Plan,869,12/13/19,Unauthorized Access/Disclosure,Network Server,Yes
"Vimly Benefit Solutions, Inc.",WA,Business Associate,2675,12/13/19,Hacking/IT Incident,Email,Yes
Sinai Health System,IL,Healthcare Provider,12578,12/13/19,Hacking/IT Incident,Email,No
Prestige Health Choice,FL,Health Plan,4665,12/13/19,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Therapeutic Oasis of the Palm Beaches LLC,FL,Healthcare Provider,1100,12/13/19,Theft,Desktop Computer,No
"Marion Eye Center, LTD.",IL,Healthcare Provider,811,12/13/19,Loss,Paper/Films,No
Aetna affiliated covered entity (ACE),CT,Health Plan,5991,12/13/19,Hacking/IT Incident,Email,Yes
Contra Costa Health Plan,CA,Health Plan,862,12/13/18,Unauthorized Access/Disclosure,Email,No
Smile Designs by Sandwick,MN,Healthcare Provider,900,12/13/18,Hacking/IT Incident,Other,No
"North Lake Tahoe Fire Protection District, Privacy Manager Breach",NV,Healthcare Provider,752,12/13/12,Theft,Desktop Computer,No
"City of Corona, Privacy Manager Breach",CA,Business Associate,958,12/13/12,Theft,Desktop Computer,No
"City of Yuma, Privacy Manager Breach",AZ,Business Associate,905,12/13/12,Theft,Desktop Computer,No
Roberts S. Smith M.D. Inc.,GA,Healthcare Provider,17000,12/13/11,Theft,Laptop,No
"Gary C. Spinks, DMD, PC",MD,Healthcare Provider,1000,12/13/10,Hacking/IT Incident,Network Server,No
Hospital Auxilio Mutuo,PR,Healthcare Provider,1000,12/13/10,Theft,Laptop,No
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536,12/12/19,Unauthorized Access/Disclosure,Network Server,Yes
Jewish Social Services Agency,MD,Healthcare Provider,3145,12/12/19,Hacking/IT Incident,Email,No
"Alpha-Omega Endocrinology, Diabetes and Metabolism Center, PC",AZ,Healthcare Provider,1000,12/12/18,Unauthorized Access/Disclosure,Other,No
Midland County Hospital District d/b/a Midland Memorial Hospital,TX,Healthcare Provider,1160,12/12/17,Hacking/IT Incident,Email,No
Pharmacy Innovations,NY,Healthcare Provider,1205,12/12/17,Hacking/IT Incident,Network Server,No
Quest Diagnostics,NJ,Healthcare Provider,34055,12/12/16,Hacking/IT Incident,Network Server,No
St. Mary Mercy Hospital,MI,Healthcare Provider,1488,12/12/14,Unauthorized Access/Disclosure,Email,No
Clay County Hospital,IL,Healthcare Provider,12621,12/12/14,Unauthorized Access/Disclosure,Other,No
"District Medical Group, Privacy Manager Breach",AZ,Healthcare Provider,616,12/12/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan),CA,Health Plan,30000,12/12/14,Hacking/IT Incident,Network Server,No
"Beacon Health Solutions, LLC",FL,Business Associate,20151,12/11/20,Hacking/IT Incident,Network Server,Yes
Southeast Health Center of Ripley County,MO,Healthcare Provider,5001,12/11/20,Hacking/IT Incident,Network Server,No
Holy Redeemer Ambulatory Surgical Center,PA,Healthcare Provider,1295,12/11/20,Hacking/IT Incident,Email,No
"HMC Healthworks, Inc.",FL,Business Associate,985,12/11/20,Hacking/IT Incident,Email,Yes
SSM Health Insurance Company,WI,Health Plan,4492,12/11/20,Unauthorized Access/Disclosure,Paper/Films,No
Adams County,WI,Healthcare Provider,258120,12/11/18,Unauthorized Access/Disclosure,Other,No
Ramsey County,MN,Healthcare Provider,117905,12/11/18,Hacking/IT Incident,Email,No
"University of South Florida, USF Health Care",FL,Healthcare Provider,1279,12/11/17,Unauthorized Access/Disclosure,Paper/Films,No
Charles Stamitoles,FL,Healthcare Provider,5600,12/11/16,Improper Disposal,Paper/Films,No
Northwest Primary Care Group,OR,Healthcare Provider,5327,12/11/15,Theft,Paper/Films,No
"Mary Ruth Buchness, MD, Dermatologist, P.C.",NY,Healthcare Provider,14910,12/11/15,Unauthorized Access/Disclosure,Email,Yes
Highlands Cashier Hospital,NC,Healthcare Provider,26115,12/11/14,Unauthorized Access/Disclosure,Network Server,No
Mosaic,NE,Healthcare Provider,3857,12/11/13,Unauthorized Access/Disclosure,Email,No
"Rick Lawson, Professional Computer Services",NC,Business Associate,2000,12/11/09,Theft,Network Server,Yes
"BioPlus Specialty Pharmacy Services, LLC",FL,Healthcare Provider,348870,12/10/21,Hacking/IT Incident,Network Server,No
Wellness Pharmacy,PA,Healthcare Provider,545,12/10/20,Theft,Paper/Films,No
26th & Lehigh Pharmacy,PA,Healthcare Provider,549,12/10/20,Theft,Paper/Films,No
Diamond Pharmacy,PA,Healthcare Provider,616,12/10/20,Theft,Paper/Films,No
"RXN, Inc. d/b/a Lancaster Pharmacy",PA,Healthcare Provider,856,12/10/20,Theft,Paper/Films,No
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549,12/10/19,Hacking/IT Incident,Email,No
"Appalachian Gastroenterology, P.A.",NC,Healthcare Provider,11000,12/10/16,Hacking/IT Incident,Network Server,No
L.A. Gay & Lesbian Center,CA,Healthcare Provider,59000,12/10/13,Hacking/IT Incident,Network Server,No
"Health Help, Inc.",KY,Healthcare Provider,535,12/10/13,Theft,Other Portable Electronic Device,No
"Northside Hospital, Inc.",GA,Healthcare Provider,4879,12/10/13,Loss,Laptop,No
"CCS Medical, Inc.",TX,Healthcare Provider,6601,12/10/12,Unauthorized Access/Disclosure,Other,No
Kern Medical Center,CA,Healthcare Provider,596,12/10/09,Theft,Other,No
Sacramento County Department of Health Services,CA,Healthcare Provider,2096,12/9/21,Hacking/IT Incident,Email,No
Cedar Springs Hospital,CO,Healthcare Provider,2283,12/9/20,Loss,Other Portable Electronic Device,No
"Monroe Surgical Hospital, LLC",LA,Healthcare Provider,3500,12/9/20,Hacking/IT Incident,Network Server,Yes
"The Presbyterian Homes, Inc.",NC,Healthcare Provider,1041,12/9/20,Hacking/IT Incident,Network Server,Yes
Texas Tech University Health Sciences Center,TX,Healthcare Provider,36739,12/9/20,Hacking/IT Incident,Network Server,Yes
Sonoma Valley Healthcare District,CA,Healthcare Provider,69000,12/9/20,Hacking/IT Incident,Email,No
"Employment Specialists of Maine, Inc.",ME,Healthcare Provider,1639,12/9/20,Hacking/IT Incident,Network Server,No
Starmount Life Insurance Company,LA,Health Plan,630,12/9/19,Hacking/IT Incident,Email,No
Anwan Wellness LLC,GA,Healthcare Provider,530,12/9/19,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,12/9/17,Loss,Paper/Films,No
ReachOut Home Care [Case #16687],KY,Healthcare Provider,4500,12/9/14,Theft,Laptop,No
Florida Digestive Health Specialists,FL,Healthcare Provider,4400,12/9/13,Unauthorized Access/Disclosure,Desktop Computer,No
University of Nebraska Medical Center,NE,Healthcare Provider,611,12/9/11,Theft,Paper/Films,No
Nation Wise Machine Buyers,IL,Business Associate,2000,12/9/11,Improper Disposal,Paper/Films,Yes
Blue Vantage Group,NY,Business Associate,7226,12/9/11,Unauthorized Access/Disclosure,Network Server,Yes
Brigham and Women’s Hospital,MA,Healthcare Provider,882,12/8/20,Unauthorized Access/Disclosure,Email,No
"Dental Care Alliance, LLC",FL,Business Associate,1723375,12/8/20,Hacking/IT Incident,Network Server,Yes
Mirra Health Care,FL,Business Associate,1064,12/8/20,Unauthorized Access/Disclosure,Email,Yes
"Family Care Medical Specialists Group, Inc.",CA,Healthcare Provider,2490,12/8/19,Unauthorized Access/Disclosure,Paper/Films,No
"Leon A Cohen MM.,PA",FL,Healthcare Provider,2122,12/8/18,Improper Disposal,Paper/Films,No
Central Iowa Hospital Corporation d/b/a Blank Children's Hospital,IA,Healthcare Provider,557,12/8/17,Unauthorized Access/Disclosure,Paper/Films,No
UNC Health Care System,NC,Healthcare Provider,27113,12/8/17,Theft,Desktop Computer,No
Mount Carmel Health System,OH,Healthcare Provider,836,12/8/17,Unauthorized Access/Disclosure,Email,No
Black Hawk College,IL,Health Plan,1000,12/8/16,Hacking/IT Incident,Network Server,No
Maine General Health,ME,Healthcare Provider,500,12/8/15,Hacking/IT Incident,Network Server,No
Florida Department of Health,FL,Healthcare Provider,2477,12/8/14,Other,Email,No
"Democracy Data & Communications, LLC (",VA,Business Associate,83000,12/8/09,Other,Paper/Films,Yes
OSR Physical Therapy,AZ,Healthcare Provider,714,12/7/21,Hacking/IT Incident,Email,No
Wind River Family and Community Health Care,WY,Healthcare Provider,8946,12/7/21,Unauthorized Access/Disclosure,Email,No
Hope Group LLC,AZ,Healthcare Provider,1510,12/7/21,Hacking/IT Incident,Email,No
Central Florida Cardiology Group,FL,Healthcare Provider,2817,12/7/20,Unauthorized Access/Disclosure,Paper/Films,Yes
"Meade Physicians, Inc. dba Brandenburg Family Medicine",KY,Healthcare Provider,696,12/7/20,Unauthorized Access/Disclosure,Paper/Films,Yes
"Columbus Surgery Center, LLC",NE,Healthcare Provider,7221,12/7/17,Hacking/IT Incident,Network Server,No
"Eye Physicians, P.C.",NE,Healthcare Provider,2620,12/7/17,Hacking/IT Incident,Network Server,No
"Preventice Services, LLC",TX,Healthcare Provider,6800,12/7/16,Unauthorized Access/Disclosure,Other,Yes
"Coastal Behavioral Healthcare, Inc.",FL,Healthcare Provider,4907,12/7/12,Theft,Paper/Films,No
Carolinas Medical Center - Randolph,NC,Healthcare Provider,5600,12/7/12,Hacking/IT Incident,Email,No
Rite Aid Corporation,PA,Healthcare Provider,2900,12/7/11,Other,Paper/Films,No
Contra Costa Health Services,CA,Healthcare Provider,4700,12/7/11,Unauthorized Access/Disclosure,Paper/Films,No
zarzamora family dental care,TX,Healthcare Provider,800,12/7/10,Theft,Desktop Computer,No
Adventist Health Simi Valley,CA,Healthcare Provider,54708,12/6/19,Hacking/IT Incident,Email,No
Children’s Hope Alliance,NC,Healthcare Provider,1002,12/6/19,Theft,Laptop,No
Beech Brook,OH,Healthcare Provider,2636,12/6/19,Hacking/IT Incident,Email,No
"Speight Family Medical, LLC",TN,Healthcare Provider,2000,12/6/19,Hacking/IT Incident,Network Server,No
"Equinox, Inc.",NY,Healthcare Provider,1021,12/6/19,Hacking/IT Incident,Email,No
Austin Manual Therapy Associates,TX,Healthcare Provider,1750,12/6/17,Hacking/IT Incident,Network Server,No
Methodist Dallas Medical Center,TX,Healthcare Provider,44000,12/6/13,Unauthorized Access/Disclosure,Other,No
Walgreen Co.,IL,Healthcare Provider,17350,12/6/13,Other,Paper/Films,No
PruittHealth Corporation,GA,Healthcare Provider,4500,12/6/13,Theft,Laptop,No
The Good Samaritan Health Center,GA,Healthcare Provider,5000,12/6/13,Hacking/IT Incident,Desktop Computer,No
SIU HealthCare,IL,Healthcare Provider,1891,12/6/13,Theft,Laptop,No
"Quality Health Claims Consultants, LLC",IL,Business Associate,1573,12/6/13,Theft,Email,Yes
Medical Mutual of Ohio,OH,Health Plan,643,12/6/13,Unauthorized Access/Disclosure,Paper/Films,No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466,12/5/19,Theft,Laptop,No
Conway Medical Center,SC,Healthcare Provider,2550,12/5/19,Hacking/IT Incident,Email,No
Sunrise Community Health,CO,Healthcare Provider,18404,12/5/19,Hacking/IT Incident,Email,No
Bronson Healthcare Group,MI,Healthcare Provider,8256,12/5/17,Hacking/IT Incident,Email,No
Eclectic Chiropractic Rehab,MI,Healthcare Provider,650,12/5/17,Unauthorized Access/Disclosure,Email,No
Oklahoma Department of Human Services,OK,Health Plan,47000,12/5/17,Hacking/IT Incident,Network Server,Yes
Dr. Melissa D. Selke,NJ,Healthcare Provider,4277,12/5/16,Hacking/IT Incident,Electronic Medical Record,No
Meigs County EMS,OH,Healthcare Provider,817,12/5/16,Hacking/IT Incident,Network Server,No
CVS Health,RI,Healthcare Provider,626,12/5/16,Theft,Paper/Films,No
The Hearing Zone,UT,Healthcare Provider,623,12/5/14,Theft,Laptop,No
"Jay C. Platt, DDS",IN,Healthcare Provider,10705,12/5/11,Theft,Other,No
Mercy Health,MO,Healthcare Provider,11187,12/4/20,Unauthorized Access/Disclosure,Electronic Medical Record,No
Meharry Medical College,TN,Healthcare Provider,20963,12/4/20,Hacking/IT Incident,Email,No
Family Health Center of Worcester,MA,Healthcare Provider,566,12/4/20,Hacking/IT Incident,Network Server,No
McLeroy & Klein Medical Clinic,TX,Healthcare Provider,3200,12/4/20,Unauthorized Access/Disclosure,Paper/Films,No
Butler County Board of County Commissioners,OH,Health Plan,1912,12/4/18,Unauthorized Access/Disclosure,Email,No
Golden Rule Insurance Company,IN,Health Plan,9305,12/4/17,Unauthorized Access/Disclosure,Network Server,Yes
Middlesex Hospital,CT,Healthcare Provider,946,12/4/15,Hacking/IT Incident,Email,No
"American Anesthesiology, Inc.",FL,Healthcare Provider,1000,12/4/13,Unauthorized Access/Disclosure,Paper/Films,No
Baylor Scott & White Medical Center - Waxahachie,TX,Healthcare Provider,883,12/3/21,Unauthorized Access/Disclosure,Electronic Medical Record,No
Virginia Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,4037,12/3/21,Unauthorized Access/Disclosure,Network Server,No
Allegheny Health Network,PA,Healthcare Provider,299507,12/3/20,Hacking/IT Incident,Network Server,Yes
AMITA Health,IL,Healthcare Provider,261054,12/3/20,Hacking/IT Incident,Network Server,Yes
Children's Hope Alliance,NC,Business Associate,4564,12/3/19,Hacking/IT Incident,Email,Yes
Walgreen Co.,IL,Healthcare Provider,3700,12/3/19,Hacking/IT Incident,Other,No
Healthcare Administrative Partners,PA,Business Associate,17693,12/3/19,Hacking/IT Incident,Email,Yes
Camelback Women's Health,AZ,Healthcare Provider,810,12/3/15,Unauthorized Access/Disclosure,Paper/Films,No
Blue Cross and Blue Shield of Nebraska,NE,Health Plan,1872,12/3/15,Unauthorized Access/Disclosure,Paper/Films,No
H.E.L.P. Financial Corporation,MI,Business Associate,9475,12/3/10,Unauthorized Access/Disclosure,Paper/Films,Yes
DMBA,UT,Health Plan,774,12/2/20,Unauthorized Access/Disclosure,Desktop Computer,No
"Sunshine Behavioral Health Group, LLC",CA,Business Associate,3638,12/2/19,Unauthorized Access/Disclosure,Network Server,Yes
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000,12/2/19,Hacking/IT Incident,Email,No
Washington Health System,PA,Healthcare Provider,544,12/2/16,Theft,Electronic Medical Record,No
University of Colorado Health,CO,Healthcare Provider,827,12/2/15,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Roy Varughese, M.D.",TX,Healthcare Provider,2916,12/1/21,Hacking/IT Incident,Email,No
Montefiore Medical Center,NY,Healthcare Provider,670,12/1/20,Unauthorized Access/Disclosure,Paper/Films,No
"Liv-On Family Care Center, PA",MN,Healthcare Provider,1580,12/1/20,Theft,Other Portable Electronic Device,No
Sinai Health System,IL,Healthcare Provider,11347,12/1/17,Hacking/IT Incident,Email,No
Henry Ford Health System,MI,Healthcare Provider,43563,12/1/17,Hacking/IT Incident,Email,No
Washington Health System Greene,PA,Healthcare Provider,4145,12/1/17,Theft,Other Portable Electronic Device,No
"CCRM Minneapolis, P.C.",MN,Healthcare Provider,3280,12/1/17,Hacking/IT Incident,Network Server,No
Advanced Fertility Center of Chicago,IL,Healthcare Provider,19000,12/1/16,Hacking/IT Incident,Network Server,No
Keenan & Associates,CA,Business Associate,35404,12/1/15,Unauthorized Access/Disclosure,Network Server,Yes
Cottage Health,CA,Healthcare Provider,11000,12/1/15,Unauthorized Access/Disclosure,Network Server,No
Centegra Health System,IL,Healthcare Provider,2929,12/1/15,Unauthorized Access/Disclosure,Paper/Films,Yes
North Big Horn Hospital,WY,Healthcare Provider,1607,12/1/14,Loss,Paper/Films,No
Cleveland Clinic Florida,FL,Healthcare Provider,772,12/1/11,Loss,Other,No
Planned Parenthood Los Angeles,CA,Healthcare Provider,409759,11/30/21,Hacking/IT Incident,Network Server,No
"US Med, LLC",FL,Healthcare Provider,685,11/30/20,Hacking/IT Incident,Network Server,No
Katherine Shaw Bethea Hospital,IL,Healthcare Provider,3983,11/30/19,Hacking/IT Incident,Email,No
Georgia Department of Human Services,GA,Business Associate,435339,11/30/18,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
"CHI Health Care, Inc.",MD,Healthcare Provider,722,11/30/18,Unauthorized Access/Disclosure,Paper/Films,No
"Mind and Motion, LLC",GA,Healthcare Provider,16000,11/30/18,Hacking/IT Incident,Network Server,No
CCRM Dallas-Fort Worth,TX,Healthcare Provider,1117,11/30/18,Hacking/IT Incident,Email,No
Thielen Student Health Center,IA,Healthcare Provider,599,11/30/18,Unauthorized Access/Disclosure,Email,No
"Prairie Fields Family Medicine, PC",NE,Healthcare Provider,6450,11/30/18,Unauthorized Access/Disclosure,Email,No
"Seguin Dermatology, Office of Robert J. Magnon, MD",TX,Healthcare Provider,29969,11/30/16,Hacking/IT Incident,Network Server,No
"Louisiana Health Cooperative, Inc. in Rehabilitation",LA,Health Plan,8000,11/30/16,Hacking/IT Incident,Other,Yes
PeaceHealth,WA,Healthcare Provider,1407,11/30/15,Unauthorized Access/Disclosure,Other,No
"Carolyn B Lyde, MD, PA",TX,Healthcare Provider,1500,11/30/15,Theft,Laptop,No
University of Virginia Medical Center,VA,Healthcare Provider,1846,11/30/12,Loss,Other Portable Electronic Device,No
Landmark Medical Center,RI,Healthcare Provider,683,11/30/12,Theft,Laptop,No
Albert Einstein Healthcare Network,PA,Healthcare Provider,613,11/30/10,Theft,Desktop Computer,No
University of Tennessee Medical Center,TN,Healthcare Provider,8200,11/30/10,Improper Disposal,Paper/Films,No
Kings County Hospital Center,NY,Healthcare Provider,542,11/30/10,Theft,Desktop Computer,No
Boulder Neurosurgical and Spine Associates,CO,Healthcare Provider,21450,11/29/21,Hacking/IT Incident,Email,No
Amistad Family Services,NM,Healthcare Provider,2915,11/29/21,Theft,Other Portable Electronic Device,No
"Medsurant Holdings, LLC",PA,Healthcare Provider,129127,11/29/21,Hacking/IT Incident,Network Server,No
San Francisco VA Health Care System,CA,Healthcare Provider,735,11/29/19,Theft,Other,No
Managed Health Services,IN,Health Plan,5500,11/29/16,Unauthorized Access/Disclosure,Laptop,No
City of Chicago,IL,Healthcare Provider,2080,11/29/13,Unauthorized Access/Disclosure,Network Server,No
ADPI-West,CA,Business Associate,1500,11/29/12,Unauthorized Access/Disclosure,Desktop Computer,Yes
"City of Berkeley, Privacy Manager Breach",CA,Business Associate,931,11/29/12,Theft,Desktop Computer,No
County of San Bernardino Department of Public Heatlh,CA,Healthcare Provider,1370,11/29/12,Unauthorized Access/Disclosure,Paper/Films,No
Vidant Pungo Hospital,NC,Healthcare Provider,1100,11/29/12,Improper Disposal,Paper/Films,No
Blue Cross Blue Shield,IL,Business Associate,500,11/29/12,Unauthorized Access/Disclosure,Network Server,Yes
Cuyahoga County Board of Developmental Disabilities,OH,Healthcare Provider,613,11/29/12,Theft,Laptop,No
"Advanced Data Processing, Inc.",FL,Healthcare Clearing House,10000,11/29/12,Theft,Desktop Computer,No
Oklahoma City VA Medical Center,OK,Healthcare Provider,1950,11/29/10,Theft,Paper/Films,No
Beer Industry - Local Union No. 703 Health and Welfare Fund,IL,Health Plan,9279,11/28/19,Unauthorized Access/Disclosure,Email,No
"OrthoTexas Physicians and Surgeons, PLLC",TX,Healthcare Provider,2172,11/28/18,Unauthorized Access/Disclosure,Paper/Films,Yes
Steward Medical Group,MA,Healthcare Provider,16276,11/28/18,Hacking/IT Incident,Network Server,Yes
Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,11/28/17,Hacking/IT Incident,Network Server,No
Alere Toxicology,MA,Healthcare Provider,2146,11/28/17,Unauthorized Access/Disclosure,Paper/Films,No
Glendale Adventist Medical Center,CA,Healthcare Provider,528,11/28/16,Unauthorized Access/Disclosure,Electronic Medical Record,No
CHI Franciscan Health Hospice-Tacoma,WA,Healthcare Provider,12413,11/28/16,Theft,Laptop,No
"Young Adult Institute, Inc.",NY,Healthcare Provider,913,11/28/16,Theft,Other Portable Electronic Device,No
Aetna Inc.,CT,Business Associate,18854,11/28/16,Loss,Other,Yes
