Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Sierra County (Department of Public Health, Department of Behavioral Health)",CA,Healthcare Provider,2463,11/22/2023,Hacking/IT Incident,Email,No
"East River Medical Imaging, PC",NY,Healthcare Provider,605809,11/22/2023,Hacking/IT Incident,Network Server,No
The Charles Lea Center,SC,Healthcare Provider,1250,11/22/2023,Hacking/IT Incident,Network Server,No
Northwest Eye Care Professionals,OR,Healthcare Provider,950,11/22/2023,Hacking/IT Incident,Network Server,No
"U.S. Drug Mart, Inc.",TX,Healthcare Provider,13016,11/21/2023,Hacking/IT Incident,"Network Server, Other",Yes
"TGI Direct, Inc.",MI,Business Associate,16113,11/21/2023,Hacking/IT Incident,Network Server,Yes
"Detroit Chassis, LLC",MI,Health Plan,958,11/21/2023,Hacking/IT Incident,Network Server,No
Proliance Surgeons,WA,Healthcare Provider,437392,11/20/2023,Hacking/IT Incident,Network Server,No
1st Source Bank,IN,Business Associate,1477,11/20/2023,Hacking/IT Incident,Network Server,Yes
Jacksonville Children's and Multispecialty Clinic,NC,Healthcare Provider,40000,11/17/2023,Hacking/IT Incident,Network Server,No
"CKF Addiction Treatment, Inc.",KS,Healthcare Provider,501,11/17/2023,Hacking/IT Incident,Email,No
"Community Health Network, Inc.",IN,Healthcare Provider,2271,11/17/2023,Hacking/IT Incident,"Email, Other",No
California Physicians’ Service d/b/a Blue Shield of California,CA,Health Plan,636848,11/17/2023,Hacking/IT Incident,Network Server,Yes
Psychiatry Associates of Kansas City,KS,Healthcare Provider,18255,11/17/2023,Hacking/IT Incident,Network Server,No
Blue Shield of California OR Blue Shield of California Promise Health Plan,CA,Business Associate,26523,11/17/2023,Hacking/IT Incident,Network Server,Yes
Wyoming County Community Health System,NY,Healthcare Provider,26000,11/16/2023,Hacking/IT Incident,Network Server,No
State of Maine,ME,Health Plan,453894,11/16/2023,Hacking/IT Incident,Network Server,No
Rock Valley Physical Therapy Center,IL,Healthcare Provider,2421,11/16/2023,Unauthorized Access/Disclosure,Email,No
"CareTree, Inc.",IL,Business Associate,1097,11/15/2023,Hacking/IT Incident,Network Server,Yes
Westside Community Services,CA,Healthcare Provider,2484,11/15/2023,Hacking/IT Incident,Network Server,No
"International Paper Company Group Health and Welfare Plan (the ""IP Plan"")",TN,Health Plan,78692,11/14/2023,Hacking/IT Incident,Network Server,Yes
Medical College of Wisconsin,WI,Healthcare Provider,240667,11/14/2023,Hacking/IT Incident,Network Server,No
"Medical Eye Services, Inc.",NY,Business Associate,377931,11/14/2023,Hacking/IT Incident,Network Server,Yes
Endocrine and Psychiatry Center,TX,Healthcare Provider,28531,11/14/2023,Hacking/IT Incident,Network Server,No
Southwest Behavioral Health Center,UT,Healthcare Provider,17147,11/13/2023,Hacking/IT Incident,Network Server,No
"CBIZ KA Consulting Services, LLC",NJ,Business Associate,30806,11/10/2023,Hacking/IT Incident,Network Server,Yes
Woodfords Family Services,ME,Healthcare Provider,6691,11/10/2023,Hacking/IT Incident,Network Server,No
"Southland Integrated Services, Inc.",CA,Healthcare Provider,7988,11/10/2023,Hacking/IT Incident,Network Server,No
"Healix Infusion Therapy, LLC",TX,Healthcare Provider,501,11/09/2023,Hacking/IT Incident,Network Server,No
Warren General Hospital,PA,Healthcare Provider,168921,11/09/2023,Hacking/IT Incident,Network Server,No
Mariner Management Group,OH,Healthcare Provider,1756,11/08/2023,Hacking/IT Incident,Network Server,No
"Pharmacy Group of Mississippi, LLC",MS,Healthcare Provider,13129,11/07/2023,Hacking/IT Incident,Network Server,No
IPM Healthcare DBA Boomerang Healthcare,CA,Healthcare Provider,1204,11/07/2023,Unauthorized Access/Disclosure,Email,No
"Prestige Care, Inc.",WA,Healthcare Provider,501,11/06/2023,Hacking/IT Incident,Network Server,No
"Welltok, Inc.",CO,Business Associate,8493379,11/06/2023,Hacking/IT Incident,Network Server,Yes
WellLife Network Inc.,NY,Healthcare Provider,501,11/06/2023,Hacking/IT Incident,Network Server,No
Healthsoft LLC,GA,Business Associate,1000,11/06/2023,Hacking/IT Incident,Network Server,Yes
"Financial Asset Management Systems (""FAMS"")",GA,Business Associate,164796,11/04/2023,Hacking/IT Incident,Network Server,Yes
Mayo Clinic,MN,Healthcare Provider,1152,11/03/2023,Unauthorized Access/Disclosure,Network Server,No
Sutter Health,CA,Healthcare Provider,845441,11/03/2023,Hacking/IT Incident,Network Server,Yes
South Austin Health Imaging LLC dba Longhorn Imaging Center,TX,Healthcare Provider,100643,11/03/2023,Hacking/IT Incident,"Network Server, Other",Yes
"Perry Johnson & Associates, Inc., which does business as PJ&A",NV,Business Associate,8952212,11/03/2023,Hacking/IT Incident,Network Server,Yes
