Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Maternal and Family Health Services,PA,Healthcare Provider,500,08/08/2022,Hacking/IT Incident,Network Server,No
"Inline Network Integration, LLC",TX,Business Associate,500,08/05/2022,Hacking/IT Incident,Network Server,Yes
Living Innovations,NH,Healthcare Provider,4000,08/05/2022,Hacking/IT Incident,Email,No
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,08/04/2022,Hacking/IT Incident,Email,No
"Independent Case Management, INC.",AR,Healthcare Provider,3307,08/03/2022,Hacking/IT Incident,Network Server,No
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,07/29/2022,Hacking/IT Incident,Email,No
"Healthback Holdings, LLC",OK,Healthcare Provider,21114,07/29/2022,Hacking/IT Incident,Email,No
Minuteman Senior Services,MA,Healthcare Provider,4000,07/29/2022,Hacking/IT Incident,Email,No
"OneTouchPoint, Inc.",WI,Business Associate,4112892,07/27/2022,Hacking/IT Incident,Network Server,Yes
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,07/27/2022,Hacking/IT Incident,Network Server,No
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,07/26/2022,Hacking/IT Incident,Email,No
Allegheny Heath Network,PA,Healthcare Provider,8071,07/26/2022,Hacking/IT Incident,Email,No
"Lawson Products, Inc.",IL,Health Plan,791,07/26/2022,Hacking/IT Incident,Network Server,No
Santa Rosa County District Schools,FL,Health Plan,9424,07/25/2022,Unauthorized Access/Disclosure,Network Server,No
"Scott County, Iowa",IA,Business Associate,1583,07/25/2022,Hacking/IT Incident,Email,Yes
"NuLife Med, LLC",NH,Business Associate,3805,07/25/2022,Hacking/IT Incident,Network Server,Yes
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1457,07/25/2022,Hacking/IT Incident,Network Server,Yes
Center for Primary Care,GA,Healthcare Provider,2400,07/25/2022,Hacking/IT Incident,Email,No
"Benefit Plan Administrators, Inc.",VA,Business Associate,5004,07/22/2022,Hacking/IT Incident,Network Server,Yes
"City of Newport, Rhode Island",RI,Health Plan,6109,07/22/2022,Hacking/IT Incident,Network Server,No
"Patriot Growth Insurance Services, LLC",PA,Business Associate,4614,07/21/2022,Hacking/IT Incident,Email,Yes
Central Maine Medical Center,ME,Healthcare Provider,11938,07/21/2022,Hacking/IT Incident,Network Server,Yes
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,07/20/2022,Hacking/IT Incident,Network Server,No
Dow Rummel Village,SD,Healthcare Provider,1079,07/20/2022,Hacking/IT Incident,Email,No
Zenith American Solutions,WA,Business Associate,37146,07/20/2022,Unauthorized Access/Disclosure,Paper/Films,Yes
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,07/19/2022,Hacking/IT Incident,Network Server,No
ProMedica,OH,Healthcare Provider,1178,07/19/2022,Unauthorized Access/Disclosure,Email,No
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,07/15/2022,Hacking/IT Incident,Network Server,No
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center,NH,Healthcare Provider,1201,07/15/2022,Loss,Laptop,No
Benson Health,NC,Healthcare Provider,28913,07/15/2022,Hacking/IT Incident,Network Server,No
Washington University School of Medicine,MO,Healthcare Provider,1056,07/14/2022,Hacking/IT Incident,Network Server,No
Family Practice Center PC,PA,Healthcare Provider,83969,07/11/2022,Hacking/IT Incident,Network Server,No
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,878,07/08/2022,Hacking/IT Incident,Network Server,Yes
Cornerstone Services,IL,Healthcare Provider,2513,07/08/2022,Hacking/IT Incident,Network Server,No
Wisconsin Department of Health Services,WI,Health Plan,1698,07/08/2022,Hacking/IT Incident,Network Server,Yes
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1089,07/08/2022,Hacking/IT Incident,Network Server,Yes
Southwest Health Center,WI,Healthcare Provider,46142,07/05/2022,Hacking/IT Incident,Network Server,No
Cheyenne Regional Medical Center,WY,Healthcare Provider,1652,07/05/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922,07/01/2022,Hacking/IT Incident,Network Server,Yes
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,07/01/2022,Hacking/IT Incident,Network Server,No
"Professional Finance Company, Inc.",CO,Business Associate,1918941,07/01/2022,Hacking/IT Incident,Network Server,Yes
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,06/30/2022,Hacking/IT Incident,Network Server,No
"OrthoWest, PC",NE,Healthcare Provider,1369,06/30/2022,Hacking/IT Incident,Email,No
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,628,06/30/2022,Hacking/IT Incident,Network Server,Yes
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1145,06/29/2022,Hacking/IT Incident,Network Server,Yes
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,06/28/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,735,06/27/2022,Hacking/IT Incident,Network Server,Yes
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1267,06/27/2022,Hacking/IT Incident,Network Server,Yes
Hudson Regional Hospital,NJ,Healthcare Provider,1300,06/22/2022,Hacking/IT Incident,Network Server,Yes
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,06/21/2022,Hacking/IT Incident,Network Server,No
ARC Industries Inc. of Franklin County,OH,Healthcare Provider,22011,06/17/2022,Hacking/IT Incident,Network Server,No
Help at Home,IL,Healthcare Provider,800,06/17/2022,Improper Disposal,Paper/Films,No
"Tosoh America, Inc.",OH,Health Plan,880,06/17/2022,Hacking/IT Incident,Email,No
City of Cincinnati Health Plan,OH,Health Plan,9769,06/16/2022,Unauthorized Access/Disclosure,Network Server,No
Liberty Healthcare Group,NC,Healthcare Provider,2191,06/16/2022,Hacking/IT Incident,Email,No
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,06/16/2022,Hacking/IT Incident,Network Server,No
Baptist Medical Center,TX,Healthcare Provider,1608549,06/15/2022,Hacking/IT Incident,Network Server,No
Resolute Health Hospital,TX,Healthcare Provider,54239,06/15/2022,Hacking/IT Incident,Network Server,No
"DialAmerica Marketing, Inc.",NJ,Business Associate,19796,06/12/2022,Hacking/IT Incident,Network Server,Yes
"MCG Health, LLC",WA,Business Associate,793283,06/10/2022,Hacking/IT Incident,Network Server,Yes
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,679,06/10/2022,Hacking/IT Incident,Email,No
Yuma Regional Medical Center,AZ,Healthcare Provider,783145,06/09/2022,Hacking/IT Incident,Network Server,No
"90 Degree Benefits, Inc.",WI,Business Associate,172450,06/09/2022,Hacking/IT Incident,Network Server,Yes
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,06/09/2022,Hacking/IT Incident,Network Server,No
Southern Ohio Medical Center,OH,Healthcare Provider,1333,06/08/2022,Hacking/IT Incident,Network Server,Yes
Atrium Health at Home,NC,Healthcare Provider,6695,06/07/2022,Hacking/IT Incident,Email,No
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,06/06/2022,Hacking/IT Incident,Network Server,No
"Shields Health Care Group, Inc.",MA,Business Associate,2000000,05/27/2022,Hacking/IT Incident,Network Server,Yes
University of Chicago Medical Center,IL,Healthcare Provider,2568,05/27/2022,Hacking/IT Incident,Email,No
BJC Health System,MO,Business Associate,500,05/27/2022,Hacking/IT Incident,Email,Yes
NLB Corporation,MI,Health Plan,1943,05/26/2022,Hacking/IT Incident,Network Server,No
"Comstar, LLC",MA,Business Associate,68957,05/26/2022,Hacking/IT Incident,Network Server,Yes
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,05/25/2022,Hacking/IT Incident,Email,No
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,05/25/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"Family Health Care, Inc",KS,Healthcare Provider,33619,05/24/2022,Hacking/IT Incident,Network Server,No
Val Verde Regional Medical Center (“VVRMC”),TX,Healthcare Provider,86562,05/24/2022,Hacking/IT Incident,Network Server,No
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,05/23/2022,Hacking/IT Incident,Network Server,No
Washington University School of Medicine,MO,Health Plan,500,05/23/2022,Hacking/IT Incident,Email,No
Alameda Health System,CA,Healthcare Provider,90000,05/20/2022,Hacking/IT Incident,Email,No
Partnership HealthPlan of California,CA,Health Plan,854913,05/18/2022,Hacking/IT Incident,Network Server,No
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,05/18/2022,Hacking/IT Incident,Network Server,No
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,05/17/2022,Hacking/IT Incident,Email,No
Apria Healthcare LLC,IN,Healthcare Provider,1868831,05/16/2022,Hacking/IT Incident,"Email, Network Server",No
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,05/13/2022,Hacking/IT Incident,Network Server,No
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,05/13/2022,Hacking/IT Incident,Network Server,No
Schneck Medical Center,IN,Healthcare Provider,92311,05/13/2022,Hacking/IT Incident,Network Server,No
Genetics & IVF Institute,VA,Healthcare Provider,606,05/11/2022,Hacking/IT Incident,Network Server,No
McKenzie Health System,MI,Healthcare Provider,25318,05/10/2022,Hacking/IT Incident,Network Server,No
"NuLife Med, LLC",NH,Healthcare Provider,81244,05/09/2022,Hacking/IT Incident,Network Server,No
"Mindpath Care Centers, North Carolina, PLLC",NC,Healthcare Provider,1781,05/06/2022,Hacking/IT Incident,Email,No
"CareSource, Inc",OH,Health Plan,959,05/06/2022,Unauthorized Access/Disclosure,Laptop,Yes
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,05/06/2022,Unauthorized Access/Disclosure,Email,No
"Optum, Inc.",MN,Business Associate,1584,05/06/2022,Unauthorized Access/Disclosure,Paper/Films,Yes
Greater Nashua Mental Health,NH,Healthcare Provider,1085,05/04/2022,Hacking/IT Incident,Network Server,No
Ad Astra Eye LLC,KS,Healthcare Provider,3684,04/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes
Refuah Health Center,NY,Healthcare Provider,260740,04/29/2022,Hacking/IT Incident,Network Server,No
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,04/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,04/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,04/28/2022,Hacking/IT Incident,Network Server,Yes
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,04/28/2022,Hacking/IT Incident,Network Server,No
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,04/27/2022,Hacking/IT Incident,Network Server,Yes
Southern Ohio Medical Center,OH,Healthcare Provider,15136,04/26/2022,Hacking/IT Incident,Network Server,No
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,04/22/2022,Hacking/IT Incident,Network Server,Yes
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,04/22/2022,Hacking/IT Incident,Network Server,No
"Homestead Bldg Sys,Inc.Health  Plan",VA,Health Plan,727,04/21/2022,Hacking/IT Incident,Network Server,No
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,04/21/2022,Hacking/IT Incident,Network Server,No
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,04/19/2022,Hacking/IT Incident,Network Server,No
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,04/19/2022,Hacking/IT Incident,Email,No
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,04/18/2022,Hacking/IT Incident,Email,No
New Creation Counseling Center,OH,Healthcare Provider,24029,04/14/2022,Hacking/IT Incident,"Network Server, Other",No
Newman Regional Health,KS,Healthcare Provider,52224,04/14/2022,Hacking/IT Incident,Email,No
Adaptive Health Integrations,ND,Healthcare Provider,510574,04/11/2022,Hacking/IT Incident,Network Server,No
The MetroHealth System,OH,Healthcare Provider,1748,04/11/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No
East Tennessee Children's Hospital,TN,Healthcare Provider,501,04/07/2022,Hacking/IT Incident,Network Server,No
SummaCare Inc,OH,Health Plan,716,04/07/2022,Unauthorized Access/Disclosure,Network Server,No
Advantage Benefits Group,MI,Business Associate,7147,04/06/2022,Hacking/IT Incident,Email,Yes
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,03/28/2022,Hacking/IT Incident,Network Server,No
Medical Surgical Eye Care,KS,Healthcare Provider,2000,03/28/2022,Hacking/IT Incident,Network Server,No
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,03/25/2022,Hacking/IT Incident,Network Server,No
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,03/25/2022,Hacking/IT Incident,Email,No
Advanced Medical Practice Management,NJ,Business Associate,56427,03/23/2022,Hacking/IT Incident,Network Server,Yes
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,03/23/2022,Hacking/IT Incident,Email,No
Taylor Regional Hospital,KY,Healthcare Provider,190209,03/21/2022,Hacking/IT Incident,Network Server,No
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers,CA,Healthcare Provider,34775,03/21/2022,Hacking/IT Incident,Network Server,No
Cancer and Hematology Centers of Western Michigan,MI,Healthcare Provider,43071,03/18/2022,Hacking/IT Incident,Network Server,No
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,03/17/2022,Hacking/IT Incident,Email,No
Laboratorio Clinico Toledo,NA,Healthcare Provider,500,03/14/2022,Hacking/IT Incident,Network Server,No
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,03/14/2022,Hacking/IT Incident,Network Server,No
Capital Region Medical Center,MO,Healthcare Provider,17578,03/11/2022,Hacking/IT Incident,Network Server,No
Labette Health,KS,Healthcare Provider,85635,03/11/2022,Hacking/IT Incident,Network Server,No
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,03/10/2022,Hacking/IT Incident,Network Server,No
Central Indiana Orthopedics,IN,Healthcare Provider,83705,03/07/2022,Hacking/IT Incident,Network Server,No
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,03/04/2022,Hacking/IT Incident,Network Server,No
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,03/04/2022,Hacking/IT Incident,Email,No
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,03/03/2022,Hacking/IT Incident,Email,No
Crossroads Health,OH,Healthcare Provider,10324,03/02/2022,Hacking/IT Incident,Network Server,No
"LGAA, LLC",UT,Health Plan,864,03/01/2022,Hacking/IT Incident,Network Server,No
"UMass Memorial Health, Inc.",MA,Business Associate,4270,02/28/2022,Hacking/IT Incident,Email,Yes
Bako Diagnostics,GA,Healthcare Provider,25745,02/25/2022,Hacking/IT Incident,Network Server,No
"Alliance Physical Therapy Group, LLC",MI,Business Associate,197588,02/23/2022,Hacking/IT Incident,Network Server,Yes
"Community Association of Progressive Dominicans, Inc.",NY,Healthcare Provider,656,02/23/2022,Hacking/IT Incident,Email,No
Zoe Therapy Services,VA,Healthcare Provider,1100,02/23/2022,Hacking/IT Incident,Email,No
Logan Health Medical Center,MT,Healthcare Provider,213543,02/22/2022,Hacking/IT Incident,Network Server,No
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,02/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
Memorial village er,TX,Healthcare Provider,80000,02/19/2022,Hacking/IT Incident,Network Server,No
"US Radiology Specialists, Inc.",NC,Business Associate,87552,02/18/2022,Hacking/IT Incident,Network Server,Yes
Cooper University Health Care,NJ,Healthcare Provider,1039,02/14/2022,Hacking/IT Incident,Email,No
Family Fare LLC,MI,Healthcare Provider,3892,02/11/2022,Hacking/IT Incident,Network Server,Yes
CVS Pharmacy,RI,Healthcare Provider,6221,02/11/2022,Hacking/IT Incident,Network Server,No
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,02/10/2022,Hacking/IT Incident,Network Server,No
Seneca Nation Health System,NY,Healthcare Provider,12000,02/08/2022,Hacking/IT Incident,Network Server,No
South Shore Hospital Corporation,IL,Healthcare Provider,115175,02/07/2022,Hacking/IT Incident,Network Server,No
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,02/07/2022,Hacking/IT Incident,Network Server,No
"Morley Companies, Inc.",MI,Business Associate,521046,02/01/2022,Hacking/IT Incident,Network Server,Yes
Family Christian Health Center,IL,Healthcare Provider,31000,01/28/2022,Hacking/IT Incident,Network Server,No
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,01/24/2022,Hacking/IT Incident,Network Server,No
"Medical Healthcare Solutions, Inc.",MA,Business Associate,133997,01/22/2022,Hacking/IT Incident,Network Server,Yes
Walgreen Co.,IL,Healthcare Provider,1471,01/21/2022,Unauthorized Access/Disclosure,Paper/Films,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,518,01/21/2022,Unauthorized Access/Disclosure,Email,No
"Advocates, Inc.",MA,Healthcare Provider,68236,01/21/2022,Hacking/IT Incident,Network Server,No
Raveco Medical,NY,Healthcare Provider,4897,01/17/2022,Hacking/IT Incident,Network Server,No
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,01/14/2022,Hacking/IT Incident,Network Server,No
"Digital Insurance, LLC doing business as OneDigital",GA,Business Associate,2051,01/14/2022,Hacking/IT Incident,Network Server,Yes
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,01/13/2022,Unauthorized Access/Disclosure,Paper/Films,No
Oscar Health Plan of California,NJ,Health Plan,7632,01/13/2022,Unauthorized Access/Disclosure,Paper/Films,No
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,01/13/2022,Unauthorized Access/Disclosure,Paper/Films,No
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,01/10/2022,Hacking/IT Incident,Email,No
"Advent Health Partners, Inc.",TN,Business Associate,1383,01/06/2022,Hacking/IT Incident,Email,Yes
Ravkoo,FL,Healthcare Provider,105000,01/03/2022,Hacking/IT Incident,Other,No
Youth Consultation Service,NJ,Healthcare Provider,2756,07/19/2021,Hacking/IT Incident,Network Server,No
Medical University of South Carolina,SC,Healthcare Provider,1758,11/13/2023,Unauthorized Access/Disclosure,Network Server,No
Cadence Bank,MS,Business Associate,13862,10/27/2023,Hacking/IT Incident,Network Server,Yes
Walmart Associates Health and Welfare Plan,AR,Health Plan,85952,10/04/2023,Hacking/IT Incident,Network Server,Yes
Gillette Children's Specialty Healthcare,MN,Healthcare Provider,542,09/29/2023,Hacking/IT Incident,Network Server,Yes
"Nuance Communications, Inc.",MA,Business Associate,1225054,09/15/2023,Hacking/IT Incident,Network Server,Yes
Roseman University of Health Sciences,NV,Healthcare Provider,4622,09/06/2023,Hacking/IT Incident,Network Server,No
"O'Neil Digital Solutions, LLC",CA,Business Associate,1722,08/30/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Blue Cross Blue Shield of Arizona,AZ,Health Plan,47485,08/17/2023,Hacking/IT Incident,Network Server,Yes
A-Family Dental Care Center PC,PA,Healthcare Provider,2800,08/16/2023,Unauthorized Access/Disclosure,Network Server,No
Performance Health Technology,OR,Business Associate,1752076,08/15/2023,Hacking/IT Incident,Network Server,Yes
"United Bankshares, Inc.",DC,Business Associate,8801,08/11/2023,Hacking/IT Incident,Network Server,Yes
Madera County,CA,Health Plan,1446,08/09/2023,Unauthorized Access/Disclosure,Email,No
PCC Pediatric EHR Solutions,VT,Business Associate,520,08/09/2023,Unauthorized Access/Disclosure,Email,Yes
Brigham and Women's Hospital,MA,Healthcare Provider,987,08/04/2023,Unauthorized Access/Disclosure,Network Server,No
"The Health Plan of West Virginia, Inc.",WV,Health Plan,1292,08/01/2023,Hacking/IT Incident,Network Server,No
Baylor College of Medicine,TX,Healthcare Provider,505,07/28/2023,Hacking/IT Incident,Network Server,Yes
Gladden Farms Family Dentistry,AZ,Healthcare Provider,3085,07/27/2023,Hacking/IT Incident,Network Server,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,2688,07/25/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Rite Aid Corporation,PA,Healthcare Provider,23433,07/19/2023,Hacking/IT Incident,Network Server,No
Physicians Insurance A Mutual Company,WA,Business Associate,1852,07/19/2023,Hacking/IT Incident,Email,Yes
"Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group",AZ,Healthcare Provider,6411,07/18/2023,Hacking/IT Incident,Network Server,No
Tahoe Forest Hospital District,CA,Healthcare Provider,1119,07/17/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Hines Interests Limited Partnership,TX,Health Plan,3000,07/13/2023,Hacking/IT Incident,"Network Server, Other",Yes
Molina Healthcare,CA,Health Plan,7702,07/11/2023,Hacking/IT Incident,Network Server,Yes
Eastern Connecticut Health Network,CT,Healthcare Provider,912,07/02/2023,Unauthorized Access/Disclosure,Email,No
Deanco Healthcare LLC dba Mission Community Hospital,CA,Healthcare Provider,269847,06/30/2023,Hacking/IT Incident,Network Server,No
Health First Health Plans,FL,Health Plan,701,06/30/2023,Unauthorized Access/Disclosure,Paper/Films,No
Recovery Centers of America,PA,Healthcare Provider,2220,06/30/2023,Hacking/IT Incident,Network Server,No
"Tidewater Diagnostic Imaging, Ltd.",MA,Healthcare Provider,40195,06/26/2023,Hacking/IT Incident,Network Server,No
University of Pittsburgh Medical Center,PA,Healthcare Provider,1533,06/26/2023,Hacking/IT Incident,Network Server,Yes
The MetroHealth System,OH,Healthcare Provider,1230,06/23/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
City of San Luis,AZ,Healthcare Provider,6848,06/20/2023,Hacking/IT Incident,Email,No
SEVA Medical Group LLC,VA,Healthcare Provider,690,06/19/2023,Unauthorized Access/Disclosure,Email,No
"Core Recovery, Inc.",AZ,Healthcare Provider,2656,06/16/2023,Hacking/IT Incident,Email,No
Humana Inc.,KY,Health Plan,9372,06/15/2023,Unauthorized Access/Disclosure,Paper/Films,No
Henry Ford Health,MI,Healthcare Provider,168215,06/06/2023,Hacking/IT Incident,Email,No
MUSC Health Lancaster Medical Center,SC,Healthcare Provider,1802,06/02/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
Iowa Department of Health and Human Services - Iowa Medicaid,IA,Health Plan,233834,05/30/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,4456,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1389,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1191,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1518,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,524,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,507,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Pioneer Valley Ophthalmic Consultants, PC",MA,Healthcare Provider,36275,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,983,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,8432,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,803,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1147,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,537,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,796,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1097,05/26/2023,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,916,05/26/2023,Hacking/IT Incident,Network Server,Yes
Iowa Department of Health and Human Services,IA,Health Plan,833,05/26/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
"The CSC Generation Holdings, Inc. Health and Welfare Plan",WA,Health Plan,2219,05/24/2023,Hacking/IT Incident,Network Server,No
County of Sacramento,CA,Healthcare Provider,5525,05/23/2023,Hacking/IT Incident,Email,No
"Marshall Information Services, LLC dba Primary Solutions",OH,Business Associate,7456,05/18/2023,Hacking/IT Incident,Network Server,Yes
Fertility Specialists Medical Group,CA,Healthcare Provider,9197,05/15/2023,Hacking/IT Incident,Network Server,No
"Sesame, Inc.",NY,Business Associate,1809,05/12/2023,Unauthorized Access/Disclosure,Network Server,Yes
Solutran,MN,Business Associate,17728,05/12/2023,Hacking/IT Incident,Network Server,Yes
Health Benefit Plan of the Anchorage School District,AK,Health Plan,4598,05/12/2023,Theft,Laptop,No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1116,05/12/2023,Unauthorized Access/Disclosure,Email,No
"Brightline, Inc.",CA,Business Associate,28975,05/10/2023,Hacking/IT Incident,Network Server,Yes
Oyate Health Center,SD,Healthcare Provider,575,05/02/2023,Improper Disposal,Paper/Films,No
ReDiscover Mental Health,MO,Healthcare Provider,877,05/01/2023,Unauthorized Access/Disclosure,Email,No
"Brightside Health, Inc.",CA,Healthcare Provider,767,04/30/2023,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
"Brightline, Inc.",CA,Business Associate,180694,04/20/2023,Hacking/IT Incident,Network Server,Yes
Upper Peninsula Health Plan,MI,Health Plan,833,04/20/2023,Hacking/IT Incident,Network Server,Yes
Integrated Medical Services,AZ,Healthcare Provider,6591,04/17/2023,Unauthorized Access/Disclosure,Paper/Films,No
Two Rivers Public Health Department,NE,Healthcare Provider,15168,04/14/2023,Hacking/IT Incident,Email,No
Presence Healthcare Services dba Presence Medical Group,IL,Healthcare Provider,921,04/14/2023,Unauthorized Access/Disclosure,Paper/Films,No
"Brightline, Inc.",CA,Business Associate,49968,04/13/2023,Hacking/IT Incident,Network Server,Yes
John Muir Health - Walnut Creek Medical Center,CA,Healthcare Provider,821,04/13/2023,Unauthorized Access/Disclosure,Network Server,No
Multnomah County Health Department,OR,Healthcare Provider,2719,04/12/2023,Theft,Paper/Films,No
"Pathway Healthcare, LLC",AL,Healthcare Provider,1304,04/11/2023,Unauthorized Access/Disclosure,Email,No
"St. Vincent’s Ambulatory Care, Inc.",FL,Healthcare Provider,768,04/10/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Brightline, Inc.",CA,Business Associate,199753,04/07/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,21830,04/07/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,7411,04/07/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,31440,04/07/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,4044,04/07/2023,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,473467,04/07/2023,Hacking/IT Incident,Network Server,Yes
