"","entity","state","type","affected","date","incident","location","business_associate"
"1666","North East Ohio Network","OH","Healthcare Provider",3555,"10/08/2021","Hacking/IT Incident","Email","No"
"1667","ReproSource Fertility Diagnostics, Inc.","MA","Healthcare Provider",253774,"10/08/2021","Hacking/IT Incident","Network Server","No"
"1668","University Hospital","NJ","Healthcare Provider",9329,"10/08/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"1669","Independent Health Corporation","NY","Business Associate",541,"10/08/2021","Unauthorized Access/Disclosure","Email","Yes"
"1670","Senior Living, LLC and Pilgrim River, LLC","NJ","Healthcare Provider",3952,"10/07/2021","Hacking/IT Incident","Network Server","No"
"1671","JDC Healthcare Management LLC","TX","Healthcare Provider",1077635,"10/07/2021","Hacking/IT Incident","Network Server","No"
"1672","Carteret Health Care","NC","Healthcare Provider",1235,"10/06/2021","Theft","Paper/Films","No"
"1673","Drs. Kelley & McDowell PA","SC","Healthcare Provider",6204,"10/06/2021","Hacking/IT Incident","Network Server","Yes"
"1674","Wirt County Health Services Association d/b/a Coplin Health Systems","WV","Healthcare Provider",2643,"10/05/2021","Unauthorized Access/Disclosure","Paper/Films","No"
"1675","Rockbridge Area Community Services Board","VA","Healthcare Provider",2000,"10/04/2021","Hacking/IT Incident","Network Server","No"
"1676","Professional Dental Alliance of Florida, LLC","PA","Healthcare Provider",18626,"10/01/2021","Hacking/IT Incident","Email","No"
"1677","Professional Dental Alliance of Georgia, PLLC","PA","Healthcare Provider",23974,"10/01/2021","Hacking/IT Incident","Email","No"
"1678","Professional Dental Alliance of Illinois, PLLC","PA","Healthcare Provider",16673,"10/01/2021","Hacking/IT Incident","Email","No"
"1679","Professional Dental Alliance of Massachusetts","PA","Healthcare Provider",607,"10/01/2021","Hacking/IT Incident","Email","No"
"1680","Professional Dental Alliance of Michigan, PLLC","PA","Healthcare Provider",26054,"10/01/2021","Hacking/IT Incident","Email","No"
"1681","Professional Dental Alliance, LLC","PA","Healthcare Provider",47173,"10/01/2021","Unauthorized Access/Disclosure","Email","No"
"1682","NADG Hopewell, Inc.","PA","Healthcare Provider",1143,"10/01/2021","Hacking/IT Incident","Email","No"
"1683","Professional Dental Alliance of Indiana, PLLC","PA","Healthcare Provider",7359,"10/01/2021","Hacking/IT Incident","Email","No"
"1684","Professional Dental Alliance of Connecticut, PLLC","PA","Healthcare Provider",6237,"10/01/2021","Hacking/IT Incident","Email","No"
"1685","Professional Dental Alliance of Tennessee, LLC","PA","Healthcare Provider",11217,"10/01/2021","Hacking/IT Incident","Email","No"
"1686","OSF HealthCare System","IL","Healthcare Provider",53907,"10/01/2021","Hacking/IT Incident","Network Server","No"
"1687","Professional Dental Alliance of New York, PLLC","PA","Healthcare Provider",10778,"10/01/2021","Hacking/IT Incident","Email","No"
"1688","Eskenazi Health","IN","Healthcare Provider",1515918,"10/01/2021","Hacking/IT Incident","Network Server","No"
"1689","Professional Dental Alliance of Texas, PLLC","PA","Healthcare Provider",4235,"10/01/2021","Hacking/IT Incident","Email","No"
"1690","Premier Management Company","TX","Healthcare Provider",37636,"09/30/2021","Unauthorized Access/Disclosure","Laptop","No"
"1691","Humana Inc","KY","Health Plan",948,"09/28/2021","Unauthorized Access/Disclosure","Paper/Films","Yes"
"1692","Lakewood Manor Baptist Retirement Community, Inc. d/b/a Lakewood","VA","Healthcare Provider",1205,"09/27/2021","Hacking/IT Incident","Email","No"
"1693","Zenith American Solutions","WA","Business Associate",1907,"09/24/2021","Unauthorized Access/Disclosure","Paper/Films","Yes"
"1694","Digital Insurance, LLC doing business as OneDigital","GA","Health Plan",895,"09/24/2021","Hacking/IT Incident","Network Server","No"
"1695","Griffith Energy Services Inc. Welfare Benefit Plan","MD","Health Plan",2693,"09/24/2021","Hacking/IT Incident","Network Server","No"
"1696","Epilepsy Foundation of Texas","TX","Healthcare Provider",2824,"09/24/2021","Hacking/IT Incident","Email","No"
"1697","The Menninger Clinic","TX","Healthcare Provider",1365,"09/24/2021","Hacking/IT Incident","Email","No"
"1698","Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan","IL","Health Plan",49000,"09/24/2021","Hacking/IT Incident","Network Server","No"
"1699","elizabeth ortof MD","NY","Healthcare Provider",5000,"09/23/2021","Theft","Laptop","No"
"1700","State of Alaska Department of Health & Social Services","AK","Health Plan",5e+05,"09/22/2021","Hacking/IT Incident","Network Server","No"
"1701","Aetna ACE","CT","Health Plan",1011,"09/22/2021","Hacking/IT Incident","Email","Yes"
"1702","Cerebral Medical Group","FL","Healthcare Provider",875,"09/21/2021","Unauthorized Access/Disclosure","Other","No"
"1703","GYN Emergent Care Center","CA","Healthcare Provider",5080,"09/21/2021","Loss","Paper/Films","No"
"1704","McAllen Surgical Specialty Center, Ltd.","TX","Healthcare Provider",29227,"09/20/2021","Hacking/IT Incident","Desktop Computer","No"
"1705","Illinois Department of Human Services and Illinois Department of Healthcare and Family Services","IL","Healthcare Provider",1960,"09/20/2021","Hacking/IT Incident","Network Server","No"
"1706","Georgia Department of Human Services","GA","Healthcare Clearing House",15938,"09/17/2021","Hacking/IT Incident","Network Server","Yes"
"1707","Horizon House, Inc.","PA","Healthcare Provider",27823,"09/17/2021","Hacking/IT Incident","Network Server","No"
"1708","Orlick & Kasper, MDs, PA","FL","Healthcare Provider",30000,"09/17/2021","Theft","Desktop Computer","No"
"1709","Welfare & Pension Administration Service, Inc.","WA","Health Plan",194674,"09/17/2021","Hacking/IT Incident","Network Server","No"
"1710","Famous Enterprises Inc. Employee Benefit Plan","OH","Health Plan",528,"09/17/2021","Hacking/IT Incident","Network Server","No"
"1711","Mankato Clinic","MN","Healthcare Provider",535,"09/16/2021","Unauthorized Access/Disclosure","Email","No"
"1712","Samaritan Center of Puget Sound","WA","Healthcare Provider",20866,"09/15/2021","Theft","Desktop Computer","No"
"1713","Directions for Living","FL","Healthcare Provider",19494,"09/15/2021","Hacking/IT Incident","Network Server","No"
"1714","Multnomah County","OR","Healthcare Provider",709,"09/14/2021","Theft","Paper/Films","No"
"1715","Simon Eye Management","DE","Healthcare Provider",144373,"09/14/2021","Hacking/IT Incident","Email","No"
"1716","Eastern Los Angeles Regional Center","CA","Business Associate",5441,"09/13/2021","Hacking/IT Incident","Email","Yes"
"1717","Indian Creek Foundation","PA","Healthcare Provider",2405,"09/13/2021","Hacking/IT Incident","Network Server","No"
"1718","Abeo Solutions Inc. d/b/a Crystal Practice Management","TX","Business Associate",21112,"09/13/2021","Hacking/IT Incident","Network Server","Yes"
"1719","Buddhist Tzu Chi Medical Foundation","CA","Healthcare Provider",18968,"09/13/2021","Hacking/IT Incident","Network Server","No"
"1720","Consumer Direct Care Network Arizona","AZ","Healthcare Provider",504,"09/10/2021","Hacking/IT Incident","Email","No"
"1721","Talbert House","OH","Healthcare Provider",45000,"09/10/2021","Hacking/IT Incident","Network Server","No"
"1722","Rehabilitation Support Services, Inc.","NY","Healthcare Provider",23907,"09/10/2021","Hacking/IT Incident","Network Server","No"
"1723","Central Texas Medical Specialists, PLLC dba Austin Cancer Centers","TX","Healthcare Provider",36503,"09/10/2021","Hacking/IT Incident","Network Server","No"
"1724","CVS Pharmacy","RI","Healthcare Provider",826,"09/10/2021","Theft","Paper/Films","No"
"1725","Vista Radiology, P.C.","TN","Healthcare Provider",3664,"09/09/2021","Hacking/IT Incident","Network Server","No"
"1726","HBP Financial Services Group, LTD","CT","Business Associate",938,"09/08/2021","Hacking/IT Incident","Email","Yes"
"1727","Pathology Consultants of New London, P.C.","CT","Healthcare Provider",835,"09/08/2021","Hacking/IT Incident","Email","Yes"
"1728","Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC","NM","Healthcare Provider",501,"09/08/2021","Hacking/IT Incident","Network Server","No"
"1729","City of Joplin","MO","Health Plan",2494,"09/08/2021","Hacking/IT Incident","Network Server","No"
"1730","Resource Anesthesiology Association of California, a Medical Corporation","CA","Healthcare Provider",2700,"09/05/2021","Theft","Laptop","No"
"1731","Asarco Health, Dental, Vision, Flexible Spending, Non-Union Employee Benefits, and Retiree Medical Plans","AZ","Health Plan",28000,"09/03/2021","Hacking/IT Incident","Network Server","No"
"1732","Eastern Connecticut Pathology Consultants, P.C.","CT","Healthcare Provider",5978,"09/03/2021","Hacking/IT Incident","Email","Yes"
"1733","ADEC, Inc.","IN","Healthcare Provider",2000,"09/03/2021","Hacking/IT Incident","Email","No"
"1734","USV Optical, Inc.","NJ","Healthcare Provider",180000,"09/03/2021","Hacking/IT Incident","Network Server","No"
"1735","California Department of State Hospitals - Coalinga","CA","Healthcare Provider",1738,"09/03/2021","Unauthorized Access/Disclosure","Email","No"
"1736","Sequoia Concepts, Inc.","CA","Business Associate",2230,"09/02/2021","Hacking/IT Incident","Network Server","Yes"
"1737","Dan L. Beaupre","WI","Business Associate",2000,"09/01/2021","Unauthorized Access/Disclosure","Network Server","Yes"
"1738","Thomas Eye Group","GA","Healthcare Provider",33994,"08/30/2021","Unauthorized Access/Disclosure","Network Server","No"
"1739","Ijaola, LLC d/b/a Mercy Grace Private Practice","AZ","Healthcare Provider",4450,"08/30/2021","Hacking/IT Incident","Email","No"
"1740","Queen Creek Medical Center d/b/a Desert Wells Family Medicine","AZ","Healthcare Provider",35000,"08/30/2021","Hacking/IT Incident","Network Server","No"
"1741","Healthpointe Medical Group, Inc.","CA","Healthcare Provider",11000,"08/30/2021","Hacking/IT Incident","Network Server","No"
"1742","Easterseals Delaware & Maryland's Eastern Shore","DE","Healthcare Provider",15208,"08/30/2021","Hacking/IT Incident","Email","No"
"1743","DuPage Medical Group, Ltd.","IL","Healthcare Provider",655384,"08/30/2021","Hacking/IT Incident","Network Server","No"
"1744","CareATC, Inc.","OK","Healthcare Provider",98774,"08/27/2021","Hacking/IT Incident","Email","No"
"1745","Beaumont Health","MI","Healthcare Provider",1568,"08/27/2021","Hacking/IT Incident","Network Server","Yes"
"1746","Family Medical Center of Michigan","MI","Healthcare Provider",21988,"08/26/2021","Hacking/IT Incident","Network Server","No"
"1747","Medical Business Management","AL","Business Associate",1750,"08/25/2021","Hacking/IT Incident","Network Server","Yes"
"1748","LifeLong Medical Care","CA","Healthcare Provider",115448,"08/25/2021","Hacking/IT Incident","Network Server","Yes"
"1749","San Andreas Regional Center","CA","Business Associate",57244,"08/25/2021","Hacking/IT Incident","Network Server","Yes"
"1750","The Wedge Medical Center","PA","Healthcare Provider",25491,"08/24/2021","Hacking/IT Incident","Network Server","No"
"1751","Denton County, Texas","TX","Healthcare Provider",326417,"08/24/2021","Unauthorized Access/Disclosure","Network Server","No"
"1752","CarePointe ENT","IN","Healthcare Provider",48742,"08/23/2021","Hacking/IT Incident","Network Server","No"
"1753","Gregory P. Vannucci DDS","IA","Healthcare Provider",26144,"08/20/2021","Hacking/IT Incident","Network Server","No"
"1754","South Florida Community Care Network LLC d/b/a Community Care Plan","FL","Health Plan",48344,"08/20/2021","Unauthorized Access/Disclosure","Email","No"
"1755","Central Utah Clinic, P.C. dba Revere Health","UT","Healthcare Provider",12433,"08/19/2021","Hacking/IT Incident","Email","No"
"1756","Nova Biomedical Corporation","MA","Health Plan",3774,"08/17/2021","Hacking/IT Incident","Network Server","No"
"1757","Nashua Regional Cancer Center dba Radiation Center of Greater Nashua","NH","Healthcare Provider",520,"08/17/2021","Hacking/IT Incident","Network Server","Yes"
"1758","Metro Infectious Disease Consultants","IL","Healthcare Provider",171740,"08/16/2021","Hacking/IT Incident","Email","No"
"1759","UTMP Surgical Oncology","TN","Healthcare Provider",1310,"08/16/2021","Unauthorized Access/Disclosure","Paper/Films","No"
"1760","Texoma Community Center","TX","Healthcare Provider",24021,"08/16/2021","Hacking/IT Incident","Email","No"
"1761","Alluma, Inc","MN","Healthcare Provider",4117,"08/15/2021","Unauthorized Access/Disclosure","Paper/Films","No"
"1762","McCoy Consulting Services LLC","WV","Business Associate",5665,"08/13/2021","Hacking/IT Incident","Email","Yes"
"1763","Fairfax Medical Facilities, Inc.","OK","Healthcare Provider",4970,"08/13/2021","Hacking/IT Incident","Email","No"
"1764","University Medical Center of Southern Nevada","NV","Healthcare Provider",1300000,"08/13/2021","Hacking/IT Incident","Network Server","No"
"1765","North Country Healthcare","NH","Healthcare Provider",3550,"08/12/2021","Hacking/IT Incident","Network Server","Yes"
"1766","Frisco Fertility Center, PLLC dba Dallas IVF","TX","Healthcare Provider",552,"08/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"1767","Waste Management Health and Welfare Benefits Plan","TX","Health Plan",922,"08/12/2021","Hacking/IT Incident","Network Server","No"
"1768","Children's Hospital of The King's Daughters","VA","Healthcare Provider",914,"08/11/2021","Hacking/IT Incident","Email","No"
"1769","Express MRI, LLC (Norcross)","GA","Business Associate",1707,"08/11/2021","Hacking/IT Incident","Email","Yes"
"1770","St. Joseph's/Candler Health System, Inc.","GA","Healthcare Provider",1400000,"08/10/2021","Hacking/IT Incident","Network Server","No"
"1771","Electromed","MN","Healthcare Provider",47200,"08/09/2021","Hacking/IT Incident","Network Server","No"
"1772","Long Island Jewish Forest Hills Hospital","NY","Healthcare Provider",10333,"08/06/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"1773","Wisconsin Institute of Urology S.C.","WI","Healthcare Provider",4819,"08/05/2021","Hacking/IT Incident","Email","No"
"1774","UNM Health","NM","Healthcare Provider",1228093,"08/03/2021","Hacking/IT Incident","Network Server","No"
"1775","Vision for Hope","IL","Healthcare Provider",5517,"08/03/2021","Hacking/IT Incident","Email","No"
"1776","Hospice of the Piedmont","VA","Healthcare Provider",10682,"08/02/2021","Hacking/IT Incident","Email","No"
"1777","Valley Physical Medicine & Rehabilitation","AZ","Health Plan",1866,"08/02/2021","Unauthorized Access/Disclosure","Email","No"
"1778","UF Health Central Florida","FL","Healthcare Provider",700934,"07/30/2021","Hacking/IT Incident","Network Server","No"
"1779","Renaissance Life & Health Insurance Company of America","IN","Health Plan",4727,"07/30/2021","Hacking/IT Incident","Network Server","Yes"
"1780","Woods Super Markets, Inc.","MO","Healthcare Provider",785,"07/30/2021","Hacking/IT Incident","Network Server","Yes"
"1781","Mount St. Mary's Hospital","NY","Healthcare Provider",6538,"07/30/2021","Hacking/IT Incident","Network Server","Yes"
"1782","Sisters of Charity Hospital","NY","Healthcare Provider",10464,"07/30/2021","Hacking/IT Incident","Network Server","Yes"
"1783","UnitedHealth Group Single Affiliated Covered Entity","MN","Health Plan",774,"07/30/2021","Unauthorized Access/Disclosure","Network Server","No"
"1784","Eau Claire Cooperative Health, Inc. DBA Cooperative Health","SC","Healthcare Provider",3755,"07/29/2021","Hacking/IT Incident","Other","Yes"
"1785","K&B Surgical Center LLC","CA","Healthcare Provider",14774,"07/28/2021","Hacking/IT Incident","Desktop Computer","No"
"1786","A2Z Diagnostics, LLC","NJ","Healthcare Provider",35587,"07/28/2021","Hacking/IT Incident","Email","No"
"1787","Benefis Hospitals Inc","MT","Healthcare Provider",81043,"07/27/2021","Hacking/IT Incident","Email","No"
"1788","Harris County","TX","Healthcare Provider",26000,"07/27/2021","Unauthorized Access/Disclosure","Network Server","No"
"1789","siParadigm, LLC","NJ","Healthcare Provider",1654,"07/26/2021","Unauthorized Access/Disclosure","Network Server","No"
"1790","NCH Corporation","TX","Health Plan",11427,"07/24/2021","Hacking/IT Incident","Network Server","No"
"1791","Yale New Haven Health Services Corporation (""YNHHS"")","CT","Healthcare Provider",14603,"07/23/2021","Hacking/IT Incident","Network Server","Yes"
"1792","Mobile County Commission","AL","Business Associate",1337,"07/23/2021","Hacking/IT Incident","Network Server","Yes"
"1793","Medi-Lynx Cardiac Monitoring","TX","Healthcare Provider",1841,"07/23/2021","Hacking/IT Incident","Network Server","No"
"1794","Electrical Workers Local 369","KY","Health Plan",662,"07/23/2021","Hacking/IT Incident","Email","No"
"1795","Ascension Via Christi ACE","KS","Healthcare Provider",1977,"07/23/2021","Hacking/IT Incident","Email","Yes"
"1796","West Holt Memorial Hospital","NE","Healthcare Provider",541,"07/22/2021","Hacking/IT Incident","Email","No"
"1797","Thomas Jefferson University Hospital","PA","Business Associate",1346,"07/22/2021","Hacking/IT Incident","Network Server","Yes"
"1798","North Oklahoma County Mental Health Center d/b/a NorthCare","OK","Healthcare Provider",128556,"07/21/2021","Hacking/IT Incident","Network Server","No"
"1799","Academic HealthPlans, Inc.","TX","Business Associate",79263,"07/21/2021","Hacking/IT Incident","Email","Yes"
"1800","Prestera Center for Mental Health Services","WV","Healthcare Provider",2152,"07/20/2021","Hacking/IT Incident","Email","No"
"1801","Standard Modern Company, Inc.","MA","Business Associate",2707,"07/20/2021","Unauthorized Access/Disclosure","Paper/Films","Yes"
"1802","Texas Health Presbyterian Hospital Flower Mound","TX","Healthcare Provider",781,"07/20/2021","Unauthorized Access/Disclosure","Email","No"
"1803","Orlando Family Physicians, LLC","FL","Healthcare Provider",447426,"07/20/2021","Hacking/IT Incident","Email","No"
"1804","The University of North Carolina Hospitals","NC","Healthcare Provider",8114,"07/19/2021","Hacking/IT Incident","Email","No"
"1805","Southwest Nebraska Public Health Department","NE","Healthcare Provider",12968,"07/19/2021","Unauthorized Access/Disclosure","Desktop Computer","No"
"1806","The University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider",2718,"07/19/2021","Hacking/IT Incident","Email","No"
"1807","The Cancer Center of Greenwood Leflore Hospital","MS","Healthcare Provider",2714,"07/19/2021","Hacking/IT Incident","Network Server","Yes"
"1808","Dynamic Health Care, Inc.","IL","Business Associate",947,"07/16/2021","Hacking/IT Incident","Network Server","Yes"
"1809","CleanSlate Centers, Inc.","TN","Healthcare Provider",890,"07/16/2021","Hacking/IT Incident","Email","No"
"1810","Intermountain Healthcare","UT","Healthcare Provider",28628,"07/16/2021","Hacking/IT Incident","Electronic Medical Record","Yes"
"1811","Adena Fayette Medical Center","OH","Healthcare Provider",1389,"07/16/2021","Hacking/IT Incident","Email","No"
"1812","McLaren Health Care Corporation","MI","Healthcare Provider",64600,"07/16/2021","Hacking/IT Incident","Network Server","Yes"
"1813","Sierra Nevada Primary Care Physicians","CA","Healthcare Provider",1717,"07/16/2021","Theft","Paper/Films","No"
"1814","Advocate Aurora Health","WI","Healthcare Provider",68707,"07/16/2021","Hacking/IT Incident","Network Server","Yes"
"1815","Guidehouse","VA","Business Associate",91331,"07/15/2021","Hacking/IT Incident","Network Server","Yes"
"1816","City of Lincoln Aging Partners","NE","Business Associate",1513,"07/14/2021","Hacking/IT Incident","Email","Yes"
"1817","Synergic Healthcare Solutions, Inc. dba TGH Urgent Care powered by Fast Track","FL","Business Associate",558,"07/14/2021","Theft","Other","Yes"
"1818","Aetna ACE","CT","Health Plan",8664,"07/14/2021","Hacking/IT Incident","Email","No"
"1819","Nystrom & Associates","MN","Healthcare Provider",985,"07/13/2021","Hacking/IT Incident","Email","No"
"1820","On Lok Senior Health Services","CA","Health Plan",1643,"07/13/2021","Hacking/IT Incident","Network Server","No"
"1821","The George Washington University Medical Faculty Associates","DC","Healthcare Provider",576,"07/13/2021","Unauthorized Access/Disclosure","Email","No"
"1822","King County Public Hospital District No. 2 d/b/a EvergreenHealth","WA","Healthcare Provider",22579,"07/13/2021","Hacking/IT Incident","Network Server","Yes"
"1823","Bakersfield Hematology Oncology Inc.","CA","Healthcare Provider",1286,"07/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"1824","Oklahoma Heart Hospital, LLC","OK","Healthcare Provider",1038,"07/12/2021","Unauthorized Access/Disclosure","Paper/Films","No"
"1825","CSI Financial Services, LLC dba ClearBalance","CA","Business Associate",3191,"07/10/2021","Hacking/IT Incident","Email","Yes"
"1826","Starling Physicians","CT","Healthcare Provider",2808,"07/09/2021","Hacking/IT Incident","Email","No"
"1827","Saint Peter's University Hospital","NJ","Healthcare Provider",585,"07/09/2021","Hacking/IT Incident","Network Server","Yes"
"1828","Oscar Insurance Company of Florida","FL","Health Plan",516,"07/08/2021","Hacking/IT Incident","Other","No"
"1829","CNA Financial Corporation","IL","Health Plan",5095,"07/08/2021","Hacking/IT Incident","Network Server","No"
"1830","Osborn Cancer Care","WA","Healthcare Provider",4614,"07/08/2021","Hacking/IT Incident","Network Server","Yes"
"1831","Forefront Dermatology, S.C.","WI","Healthcare Provider",2413553,"07/08/2021","Hacking/IT Incident","Network Server","Yes"
"1832","Lake County Health Department and Community Health Center","IL","Healthcare Provider",705,"07/08/2021","Unauthorized Access/Disclosure","Network Server","No"
"1833","Florida Heart Associates","FL","Healthcare Provider",45148,"07/07/2021","Hacking/IT Incident","Network Server","No"
"1834","Triangle Women's Center","NC","Healthcare Provider",978,"07/07/2021","Unauthorized Access/Disclosure","Email","No"
"1835","Hope Medical LLC","GA","Healthcare Provider",500,"07/07/2021","Unauthorized Access/Disclosure","Paper/Films","No"
"1836","HealthReach Community Health Centers","ME","Healthcare Provider",122340,"07/06/2021","Improper Disposal","Electronic Medical Record","No"
"1837","Hot Springs Health Program","NC","Healthcare Provider",1984,"07/06/2021","Unauthorized Access/Disclosure","Email","No"
"1838","Coastal Family Health Center, Inc","MS","Healthcare Provider",65890,"07/02/2021","Hacking/IT Incident","Email","No"
"1839","University of Maryland, Baltimore","MD","Business Associate",37263,"07/02/2021","Hacking/IT Incident","Network Server","Yes"
"1840","Cook County Health","IL","Health Plan",898,"07/02/2021","Unauthorized Access/Disclosure","Paper/Films","Yes"
"1841","CentraCare Health System","MN","Healthcare Provider",842,"07/02/2021","Hacking/IT Incident","Network Server","Yes"
"1842","St. Vincent's Services, Inc. D/B/A HeartShare St. Vincent's Services","NY","Healthcare Provider",1927,"07/02/2021","Hacking/IT Incident","Network Server","Yes"
"1843","HeartShare Wellness, LTD","NY","Healthcare Provider",586,"07/02/2021","Hacking/IT Incident","Network Server","Yes"
"1844","Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)","NY","Business Associate",1210688,"07/01/2021","Hacking/IT Incident","Network Server","Yes"
"1845","Wayne County Hospital","IA","Healthcare Provider",2016,"07/01/2021","Hacking/IT Incident","Email","No"
"1846","Florida Blue","FL","Health Plan",32749,"07/01/2021","Hacking/IT Incident","Network Server","No"
"1847","PracticeMax, Inc.","AZ","Business Associate",685574,"06/30/2021","Hacking/IT Incident","Network Server","Yes"
"1848","NYC Health + Hospitals","NY","Healthcare Provider",43727,"06/30/2021","Hacking/IT Incident","Network Server","Yes"
"1849","Francisco J. Pabalan MD, INC","CA","Healthcare Provider",50000,"06/30/2021","Hacking/IT Incident","Network Server","No"
"1850","Dermatology Group of Arkansas, PA","AR","Healthcare Provider",1579,"06/29/2021","Hacking/IT Incident","Email","No"
"1851","Peoples Community Health Clinic","IA","Healthcare Provider",40084,"06/29/2021","Hacking/IT Incident","Email","No"
"1852","Penn Foundation","PA","Healthcare Provider",768,"06/29/2021","Hacking/IT Incident","Network Server","No"
"1853","Ankle and Foot Physicians and Surgeons PLLC","WA","Healthcare Provider",5244,"06/28/2021","Hacking/IT Incident","Network Server","No"
"1854","Dental Center of Westport Group LLC","CT","Healthcare Provider",2175,"06/28/2021","Hacking/IT Incident","Email","No"
"1855","Fairbanks Cancer Care Physicians, P.C.","AK","Healthcare Provider",2426,"06/28/2021","Hacking/IT Incident","Network Server","Yes"
"1856","The Recovery Project, LLC","MI","Healthcare Provider",1103,"06/28/2021","Hacking/IT Incident","Email","No"
"1857","CVS Caremark","RI","Business Associate",3064,"06/28/2021","Unauthorized Access/Disclosure","Paper/Films","Yes"
"1858","Carle Cancer Institute Normal","IL","Healthcare Provider",8066,"06/25/2021","Hacking/IT Incident","Network Server","Yes"
"1859","Physicians Dialysis","FL","Healthcare Provider",1998,"06/25/2021","Hacking/IT Incident","Network Server","No"
"1860","Northwestern Memorial HealthCare","IL","Healthcare Provider",201197,"06/25/2021","Hacking/IT Incident","Network Server","Yes"
"1861","Smile Brands, Inc.","CA","Business Associate",2592494,"06/24/2021","Hacking/IT Incident","Network Server","Yes"
"1862","John Muir Physician Network","CA","Healthcare Provider",1081,"06/24/2021","Unauthorized Access/Disclosure","Email","No"
"1863","MultiPlan","NY","Business Associate",214956,"06/24/2021","Hacking/IT Incident","Email","Yes"
"1864","Aultman Health Foundation","OH","Healthcare Provider",7354,"06/24/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"1865","Mississippi Center for Advanced Medicine, PC","MS","Healthcare Provider",8908,"06/23/2021","Hacking/IT Incident","Network Server","No"
"1866","Abode Services","CA","Healthcare Provider",4905,"06/22/2021","Hacking/IT Incident","Email","No"
"1867","Tiburcio Vasquez Health Center Inc.","CA","Healthcare Provider",2042,"06/22/2021","Hacking/IT Incident","Network Server","Yes"
"1868","United Neighborhood Health Services d/b/a Neighborhood Health","TN","Healthcare Provider",1519,"06/22/2021","Hacking/IT Incident","Network Server","Yes"
"1869","Hawaii Independent Physicians Association","HI","Business Associate",18770,"06/22/2021","Hacking/IT Incident","Email","Yes"
"1870","Renown Health","NV","Healthcare Provider",65181,"06/22/2021","Hacking/IT Incident","Network Server","Yes"
"1871","Jawonio","NY","Healthcare Provider",13313,"06/21/2021","Hacking/IT Incident","Email","No"
"1872","Hosparus, Inc. dba Care Guide Partners Inc.","KY","Healthcare Provider",1545,"06/21/2021","Hacking/IT Incident","Network Server","Yes"
"1873","Eye Consultants of Atlanta / Piedmont System Ambulatory Surgery Center, LLC","GA","Healthcare Provider",2662,"06/19/2021","Improper Disposal","Paper/Films","No"
"1874","Refresh Mental Health d/b/a Springfield Psychological","PA","Healthcare Provider",948,"06/18/2021","Unauthorized Access/Disclosure","Email","No"
"1875","Charles E. Jones DDS PC, DBA Jones Family Dental","OR","Healthcare Provider",6493,"06/18/2021","Hacking/IT Incident","Network Server","No"
"1876","University of Wisconsin Hospitals and Clinics Authority","WI","Healthcare Provider",4318,"06/18/2021","Hacking/IT Incident","Network Server","No"
"1877","Walmart Inc.","AR","Healthcare Provider",14532,"06/18/2021","Loss","Paper/Films","No"
"1878","JFK Medical Associates, PA d/b/a Coastal Medical Group","NJ","Healthcare Provider",1304,"06/18/2021","Hacking/IT Incident","Desktop Computer","No"
"1879","Prominence Health Plan","NV","Health Plan",45380,"06/18/2021","Hacking/IT Incident","Network Server","No"
"1880","Singing River Health System","MS","Healthcare Provider",3543,"06/17/2021","Hacking/IT Incident","Network Server","Yes"
"1881","Little Hill Foundation for the Rehabilitation of Alcoholics, Inc. d/b/a Alina Lodge","NJ","Healthcare Provider",2565,"06/16/2021","Hacking/IT Incident","Network Server","Yes"
"1882","Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC","GA","Healthcare Provider",38000,"06/15/2021","Hacking/IT Incident","Network Server","No"
"1883","Health Care Service Corp","IL","Health Plan",543,"06/15/2021","Hacking/IT Incident","Network Server","Yes"
"1884","Golden Care Pharmacy LLC","NJ","Healthcare Provider",5530,"06/14/2021","Unauthorized Access/Disclosure","Desktop Computer","No"
"1885","St. Charles Health System, Inc.","OR","Healthcare Provider",4687,"06/14/2021","Hacking/IT Incident","Network Server","Yes"
"1886","Centura Health","CO","Healthcare Provider",738,"06/12/2021","Hacking/IT Incident","Email","No"
"1887","Neighborhood Healthcare Inc. d/b/a Neighborhood Family Practice","OH","Healthcare Provider",6156,"06/11/2021","Hacking/IT Incident","Network Server","Yes"
"1888","Care Inns of Texas, Ltd","TX","Business Associate",1300,"06/11/2021","Hacking/IT Incident","Email","Yes"
"1889","Illinois Attorney General's Office","IL","Business Associate",501,"06/09/2021","Hacking/IT Incident","Network Server","Yes"
"1890","Cancer Care Center","TN","Healthcare Provider",17809,"06/09/2021","Hacking/IT Incident","Electronic Medical Record","Yes"
"1891","Epic Care","CA","Healthcare Provider",9000,"06/09/2021","Hacking/IT Incident","Electronic Medical Record","Yes"
